#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
         168      1.8333     1.85674  0.00295049
         169     1.83031     1.85659  0.00293717
         170     1.84974     1.85655  0.00292017
         171     1.87155     1.85663  0.00290441
         172     1.82451     1.85645  0.00289353
         173     1.87145     1.85653   0.0028781
         174     1.88015     1.85667  0.00286476
         175     1.84995     1.85663  0.00284864
         176     1.84092     1.85654  0.00283386
         177     1.80495     1.85625   0.0028328
         178     1.81749     1.85603  0.00282524
         179     1.81475      1.8558  0.00281885
         180     1.88066     1.85594  0.00280657
         181     1.89627     1.85616   0.0027999
         182     1.90484     1.85643  0.00279726
         183     1.86644     1.85649  0.00278251
         184     1.85005     1.85645   0.0027676
         185     1.83715     1.85635  0.00275461
         186     1.81598     1.85613  0.00274834
         187      1.7953      1.8558  0.00275282
         188     1.83677      1.8557  0.00274004
         189     1.79756      1.8554  0.00274276
         190     1.79648     1.85509  0.00274579
         191     1.86968     1.85516  0.00273248
         192     1.85804     1.85518  0.00271829
         193     1.86679     1.85524  0.00270487
         194     1.81226     1.85502  0.00269998
         195     1.81811     1.85483  0.00269276
         196     1.86173     1.85486  0.00267925
         197     1.86308      1.8549  0.00266598
         198     1.88664     1.85506  0.00265733
         199      1.8479     1.85503  0.00264422
         200      1.8629     1.85507  0.00263129
         201     1.85485     1.85507   0.0026182
         202      1.8708     1.85514  0.00260639
         203     1.87736     1.85525  0.00259585
         204     1.90499      1.8555  0.00259455
         205     2.00107     1.85621  0.00267731
         206     2.00592     1.85693  0.00276119
         207     1.93663     1.85732  0.00277457
         208     1.90847     1.85756  0.00277211
         209     1.90066     1.85777   0.0027665
         210     1.89638     1.85795  0.00275943
         211     1.88754     1.85809  0.00274991
         212     1.90062      1.8583  0.00274425
         213     1.86727     1.85834  0.00273168
         214     1.86219     1.85836  0.00271898
         215     1.87208     1.85842  0.00270708
         216     1.87475      1.8585   0.0026956
         217     1.78811     1.85817  0.00270263
         218     1.78054     1.85781  0.00271359
         219     1.80356     1.85757  0.00271248
         220     1.85337     1.85755  0.00270022
         221     1.89896     1.85774   0.0026945
         222     1.89519      1.8579  0.00268763
         223     1.84703     1.85786  0.00267603
         224     1.80541     1.85762   0.0026743
         225     1.83687     1.85753  0.00266401
         226      1.8244     1.85738  0.00265625
         227     1.83549     1.85729   0.0026463
         228     1.87687     1.85737  0.00263608
         229      1.8644      1.8574  0.00262475
         230     1.88196     1.85751  0.00261551
         231     1.84805     1.85747  0.00260451
         232     1.83347     1.85736  0.00259533
         233     1.91208      1.8576   0.0025948
         234     1.89002     1.85774   0.0025874
         235     1.91705     1.85799  0.00258868
         236     1.97484     1.85849  0.00262463
         237     1.96921     1.85895  0.00265481
         238     1.92853     1.85925  0.00265971
         239     1.92038      1.8595  0.00266085
         240     1.84895     1.85946  0.00265013
         241     1.80911     1.85925  0.00264735
