#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1      1.1341      1.1341           0
           2     1.20138     1.16774   0.0237891
           3     1.23143     1.18897   0.0234943
           4     1.26943     1.20909   0.0247783
           5     1.27314      1.2219   0.0228958
           6     1.26608     1.22926   0.0202292
           7     1.26577     1.23447   0.0179992
           8      1.2693     1.23883   0.0162672
           9     1.26637     1.24189   0.0147448
          10      1.2679     1.24449   0.0134978
