#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
         152    -0.37189   -0.390474  0.00317793
         153   -0.380141   -0.390407  0.00315788
         154   -0.381704    -0.39035  0.00313788
         155   -0.425086   -0.390574  0.00312563
         156   -0.443071   -0.390911  0.00312366
         157   -0.395391   -0.390939  0.00310389
         158    -0.39438   -0.390961  0.00308432
         159   -0.385402   -0.390926  0.00306512
         160   -0.364166   -0.390759  0.00305052
         161   -0.346402   -0.390484  0.00304399
         162   -0.380225    -0.39042  0.00302586
         163   -0.400488   -0.390482  0.00300793
         164    -0.39418   -0.390504  0.00298967
         165    -0.35596   -0.390295  0.00297887
         166   -0.349735   -0.390051  0.00297093
         167   -0.342179   -0.389764  0.00296694
         168    -0.36618   -0.389624   0.0029526
         169   -0.363078   -0.389467   0.0029393
         170   -0.382547   -0.389426  0.00292229
         171    -0.40432   -0.389513   0.0029065
         172   -0.357259   -0.389326  0.00289565
         173   -0.404266   -0.389412   0.0028802
         174   -0.412934   -0.389547  0.00286682
         175    -0.38275   -0.389508   0.0028507
         176   -0.373793   -0.389419   0.0028359
         177   -0.337899   -0.389128  0.00283477
         178   -0.350515   -0.388911  0.00282714
         179   -0.347908   -0.388682  0.00282061
         180   -0.413632   -0.388821  0.00280834
         181   -0.429184   -0.389044  0.00280166
         182   -0.437564    -0.38931  0.00279893
         183   -0.399202   -0.389364  0.00278415
         184   -0.382848   -0.389329  0.00276925
         185   -0.369997   -0.389224  0.00275625
         186   -0.348808   -0.389007  0.00274998
         187   -0.328091   -0.388681   0.0027545
         188   -0.369568    -0.38858  0.00274173
         189   -0.330245   -0.388271  0.00274454
         190   -0.329228    -0.38796  0.00274763
         191   -0.402621   -0.388037  0.00273432
         192   -0.390886   -0.388052  0.00272011
         193   -0.399581   -0.388111  0.00270668
         194   -0.345066    -0.38789   0.0027018
         195   -0.351005     -0.3877  0.00269456
         196   -0.394533   -0.387735  0.00268104
         197   -0.396098   -0.387778  0.00266777
         198    -0.41955   -0.387938  0.00265911
         199    -0.38084   -0.387903  0.00264599
         200    -0.39573   -0.387942  0.00263305
         201   -0.387633    -0.38794  0.00261995
         202   -0.403592   -0.388018  0.00260813
         203   -0.410171   -0.388127  0.00259756
         204   -0.437936   -0.388371  0.00259628
         205   -0.534036   -0.389081  0.00267908
         206   -0.538931   -0.389809  0.00276307
         207    -0.46964   -0.390195   0.0027765
         208    -0.44153   -0.390441   0.0027741
         209   -0.433586   -0.390648   0.0027685
         210   -0.429376   -0.390832  0.00276145
         211   -0.420459   -0.390973  0.00275193
         212   -0.433524   -0.391173  0.00274626
         213   -0.400142   -0.391215  0.00273369
         214   -0.395015   -0.391233  0.00272097
         215   -0.404958   -0.391297  0.00270907
         216   -0.407488   -0.391372  0.00269756
         217   -0.320826   -0.391047  0.00270465
         218    -0.31336   -0.390691  0.00271562
         219    -0.33648   -0.390443  0.00271448
         220   -0.386272   -0.390424   0.0027022
         221   -0.431823   -0.390611  0.00269646
         222   -0.427914   -0.390779  0.00268955
         223   -0.379797    -0.39073  0.00267794
         224   -0.338225   -0.390496  0.00267622
         225   -0.369904   -0.390404  0.00266589
         226   -0.357214   -0.390257  0.00265814
         227   -0.368469   -0.390161  0.00264816
         228   -0.409686   -0.390247  0.00263793
         229   -0.397289   -0.390278  0.00262659
         230   -0.414784   -0.390384  0.00261733
         231   -0.380856   -0.390343  0.00260632
         232   -0.366481    -0.39024  0.00259712
