#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1      1.1875      1.1875           0
           2     1.25286     1.22018   0.0231101
           3     1.28147     1.24061   0.0227081
           4      1.3152     1.25926     0.02347
           5     1.31005     1.26942   0.0208588
           6      1.2974     1.27408   0.0178963
           7     1.30603     1.27865   0.0159111
           8     1.30439     1.28186   0.0142438
           9     1.33551     1.28782   0.0138525
          10     1.34105     1.29315   0.0134509
