#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         220         1.1         1.1 9.04172e-09
         221         1.1         1.1 9.02125e-09
         222         1.1         1.1 9.05629e-09
         223         1.1         1.1 9.03597e-09
         224         1.1         1.1 9.01577e-09
         225         1.1         1.1  8.9407e-09
         226         1.1         1.1 8.92089e-09
         227         1.1         1.1 8.84611e-09
         228         1.1         1.1 8.82669e-09
         229         1.1         1.1 8.91681e-09
         230         1.1         1.1 8.84298e-09
         231         1.1         1.1 8.82382e-09
         232         1.1         1.1 8.75026e-09
         233         1.1         1.1 8.73147e-09
         234         1.1         1.1 8.71279e-09
         235         1.1         1.1 8.63972e-09
         236         1.1         1.1 8.72985e-09
         237         1.1         1.1 8.65747e-09
         238         1.1         1.1 8.63926e-09
         239         1.1         1.1 8.62117e-09
         240         1.1         1.1 8.54925e-09
         241         1.1         1.1 8.53149e-09
         242         1.1         1.1 8.51385e-09
         243         1.1         1.1 8.44237e-09
         244         1.1         1.1 8.53238e-09
         245         1.1         1.1 8.51495e-09
         246         1.1         1.1 8.44435e-09
         247         1.1         1.1 8.42724e-09
         248         1.1         1.1 8.41023e-09
         249         1.1         1.1 8.34003e-09
         250         1.1         1.1 8.32334e-09
         251         1.1         1.1 8.30674e-09
         252         1.1         1.1 8.39585e-09
         253         1.1         1.1 8.37924e-09
         254         1.1         1.1 8.36273e-09
         255         1.1         1.1 8.29399e-09
         256         1.1         1.1 8.27778e-09
         257         1.1         1.1 8.26166e-09
         258         1.1         1.1 8.19328e-09
         259         1.1         1.1 8.17744e-09
         260         1.1         1.1  8.1617e-09
         261         1.1         1.1  8.1981e-09
         262         1.1         1.1 8.18244e-09
         263         1.1         1.1 8.16687e-09
         264         1.1         1.1 8.15139e-09
         265         1.1         1.1 8.08434e-09
         266         1.1         1.1 8.06913e-09
         267         1.1         1.1   8.054e-09
         268         1.1         1.1 7.98726e-09
         269         1.1         1.1  7.9724e-09
         270         1.1         1.1 8.06031e-09
         271         1.1         1.1 8.04543e-09
         272         1.1         1.1 7.97963e-09
         273         1.1         1.1 7.96501e-09
         274         1.1         1.1 7.95046e-09
         275         1.1         1.1 7.88495e-09
         276         1.1         1.1 7.87066e-09
         277         1.1         1.1 7.85644e-09
         278         1.1         1.1 7.84229e-09
         279         1.1         1.1 7.77723e-09
         280         1.1         1.1 7.76333e-09
         281         1.1         1.1 7.85081e-09
         282         1.1         1.1 7.83687e-09
         283         1.1         1.1 7.77271e-09
         284         1.1         1.1 7.75901e-09
         285         1.1         1.1 7.74539e-09
         286         1.1         1.1 7.73183e-09
         287         1.1         1.1 7.66807e-09
         288         1.1         1.1 7.65474e-09
         289         1.1         1.1 7.64149e-09
         290         1.1         1.1  7.6283e-09
         291         1.1         1.1 7.56492e-09
         292         1.1         1.1 7.65198e-09
         293         1.1         1.1 7.63891e-09
         294         1.1         1.1 7.62591e-09
         295         1.1         1.1 7.56338e-09
         296         1.1         1.1 7.55059e-09
         297         1.1         1.1 7.53787e-09
         298         1.1         1.1 7.52521e-09
         299         1.1         1.1 7.46303e-09
         300         1.1         1.1 7.45058e-09
         301         1.1         1.1 7.43819e-09
         302         1.1         1.1 7.42587e-09
         303         1.1         1.1 7.36401e-09
         304         1.1         1.1 7.49944e-09
         305         1.1         1.1 7.48713e-09
         306         1.1         1.1 7.47489e-09
         307         1.1         1.1 7.46271e-09
         308         1.1         1.1 7.40204e-09
         309         1.1         1.1 7.39005e-09
         310         1.1         1.1 7.37813e-09
         311         1.1         1.1 7.36625e-09
         312         1.1         1.1  7.3059e-09
         313         1.1         1.1 7.29422e-09
         314         1.1         1.1 7.28259e-09
         315         1.1         1.1 7.27102e-09
         316         1.1         1.1 7.35566e-09
         317         1.1         1.1 7.29621e-09
         318         1.1         1.1 7.28473e-09
         319         1.1         1.1  7.2733e-09
         320         1.1         1.1 7.26193e-09
         321         1.1         1.1 7.25061e-09
         322         1.1         1.1 7.19156e-09
         323         1.1         1.1 7.18041e-09
         324         1.1         1.1 7.16932e-09
         325         1.1         1.1 7.15829e-09
         326         1.1         1.1  7.1473e-09
         327         1.1         1.1 7.08863e-09
         328         1.1         1.1 7.07781e-09
         329         1.1         1.1 7.06705e-09
         330         1.1         1.1 7.15105e-09
         331         1.1         1.1 7.14024e-09
         332         1.1         1.1 7.08242e-09
