#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
         170    -134.122    -134.359   0.0351515
         171    -134.377    -134.359   0.0349461
         172     -134.85    -134.362   0.0348595
         173    -133.745    -134.358     0.03484
         174    -135.081    -134.362   0.0348867
         175    -134.069    -134.361   0.0347276
         176    -134.301     -134.36   0.0345319
         177    -133.183    -134.354   0.0349716
         178    -134.325    -134.353   0.0347755
         179    -134.318    -134.353   0.0345818
         180    -134.176    -134.352   0.0344037
         181    -135.365    -134.358   0.0346657
         182    -135.039    -134.362   0.0346765
         183    -134.028     -134.36    0.034535
         184    -133.826    -134.357   0.0344691
         185    -134.388    -134.357   0.0342832
         186    -134.574    -134.358   0.0341187
         187    -133.995    -134.356   0.0339915
         188    -134.224    -134.356    0.033818
         189    -134.732    -134.358   0.0336976
         190    -133.957    -134.355   0.0335861
         191    -133.823    -134.353   0.0335257
         192    -134.557    -134.354    0.033368
         193    -134.509    -134.355   0.0332048
         194    -134.584    -134.356   0.0330547
         195    -134.068    -134.354    0.032918
         196    -134.321    -134.354   0.0327505
         197    -134.087    -134.353   0.0326123
         198    -133.265    -134.347   0.0329069
         199    -134.751    -134.349   0.0328039
         200    -134.503     -134.35   0.0326488
         201     -134.57    -134.351   0.0325047
         202    -134.903    -134.354   0.0324582
         203     -133.49     -134.35   0.0325764
         204    -133.435    -134.345   0.0327239
         205    -134.564    -134.346   0.0325817
         206    -133.802    -134.344   0.0325306
         207    -134.145    -134.343   0.0323876
         208    -134.045    -134.341   0.0322635
         209    -134.411    -134.341   0.0321109
         210     -133.57    -134.338   0.0321676
         211    -134.387    -134.338    0.032016
         212    -134.395    -134.338   0.0318661
         213    -134.153    -134.337   0.0317284
         214      -134.2    -134.337   0.0315866
         215    -134.035    -134.335   0.0314708
         216    -134.012    -134.334   0.0313608
         217    -134.333    -134.334   0.0312162
         218    -134.059    -134.333   0.0310986
         219    -133.702     -134.33   0.0310897
         220    -134.613    -134.331   0.0309751
         221    -134.405    -134.331   0.0308367
         222    -134.751    -134.333   0.0307557
         223     -133.46    -134.329   0.0308664
         224    -133.957    -134.328   0.0307732
         225    -134.045    -134.326   0.0306621
         226    -133.904    -134.325   0.0305835
         227    -133.401     -134.32   0.0307182
         228    -134.538    -134.321   0.0305982
         229    -134.009     -134.32   0.0304951
         230    -133.652    -134.317   0.0305005
         231    -134.621    -134.318   0.0303968
         232    -135.097    -134.322   0.0304504
         233     -133.97     -134.32   0.0303572
         234    -134.376    -134.321   0.0302284
         235    -134.793    -134.323   0.0301667
         236    -134.382    -134.323   0.0300399
         237    -134.201    -134.322   0.0299175
         238    -134.635    -134.324   0.0298207
         239    -134.054    -134.322   0.0297172
         240    -134.188    -134.322   0.0295986
         241    -135.149    -134.325   0.0296742
         242    -134.207    -134.325   0.0295556
         243    -134.397    -134.325   0.0294355
         244    -134.485    -134.326   0.0293221
         245    -133.687    -134.323   0.0293182
         246    -133.502     -134.32   0.0293884
         247    -133.966    -134.318   0.0293042
         248    -134.393    -134.319   0.0291876
         249    -134.558     -134.32   0.0290861
         250    -134.256    -134.319   0.0289709
         251    -133.874    -134.318   0.0289097
         252    -133.825    -134.316   0.0288609
         253    -134.851    -134.318   0.0288242
         254    -134.252    -134.318   0.0287119
         255    -135.277    -134.321   0.0288447
         256    -134.283    -134.321   0.0287324
         257    -135.015    -134.324    0.028747
         258    -134.636    -134.325   0.0286609
         259    -135.303    -134.329   0.0287977
         260    -134.677     -134.33   0.0287181
         261    -134.139    -134.329   0.0286174
         262    -134.566     -134.33   0.0285224
         263     -133.93    -134.329   0.0284546
         264    -134.822    -134.331   0.0284079
         265    -134.572    -134.332   0.0283153
         266    -134.383    -134.332   0.0282095
         267    -134.325    -134.332   0.0281038
         268    -134.024    -134.331   0.0280225
         269    -134.978    -134.333   0.0280214
         270    -134.841    -134.335   0.0279806
         271    -134.121    -134.334   0.0278885
         272    -133.984    -134.333   0.0278157
         273    -134.752    -134.334   0.0277561
         274    -134.617    -134.335   0.0276739
         275    -134.724    -134.337   0.0276094
         276    -133.763    -134.335   0.0275875
         277    -134.368    -134.335   0.0274881
         278    -134.778    -134.336   0.0274354
         279    -133.609    -134.334   0.0274606
         280    -134.334    -134.334   0.0273625
         281    -133.916    -134.332   0.0273056
         282    -134.259    -134.332     0.02721
         283    -133.917    -134.331   0.0271533
         284    -134.968    -134.333   0.0271504
         285    -134.944    -134.335   0.0271396
         286    -134.595    -134.336   0.0270599
         287    -133.916    -134.334   0.0270051
         288    -134.136    -134.334   0.0269201
         289    -134.685    -134.335   0.0268543
         290    -133.693    -134.333   0.0268529
         291    -134.175    -134.332   0.0267661
         292    -134.437    -134.333   0.0266769
         293    -134.266    -134.332   0.0265868
         294     -134.24    -134.332   0.0264982
         295    -134.473    -134.333   0.0264127
         296    -134.649    -134.334   0.0263451
         297    -134.027    -134.333   0.0262767
         298    -133.462     -134.33   0.0263505
         299    -134.156    -134.329   0.0262688
         300    -133.501    -134.326   0.0263258
         301    -133.449    -134.323   0.0263993
         302    -133.666    -134.321   0.0264015
         303    -134.203    -134.321   0.0263173
         304    -134.652    -134.322   0.0262532
         305    -134.767    -134.323   0.0262076
         306    -133.979    -134.322   0.0261461
         307    -134.537    -134.323   0.0260703
         308    -134.449    -134.323   0.0259889
         309    -133.602    -134.321   0.0260094
         310    -134.372    -134.321   0.0259261
         311    -133.622    -134.319   0.0259399
         312    -134.344    -134.319   0.0258569
         313    -134.359    -134.319   0.0257746
         314    -134.758    -134.321   0.0257303
         315    -134.109     -134.32   0.0256574
         316    -134.192    -134.319   0.0255794
         317    -134.241    -134.319   0.0254999
         318    -133.842    -134.318   0.0254638
         319    -134.537    -134.318   0.0253932
         320    -133.685    -134.316    0.025391
         321    -134.045    -134.316    0.025326
         322     -134.45    -134.316   0.0252508
         323    -134.304    -134.316   0.0251726
         324    -134.941    -134.318   0.0251687
         325    -134.538    -134.319   0.0251004
         326     -135.15    -134.321   0.0251527
         327    -134.443    -134.321   0.0250786
         328     -134.39    -134.322    0.025003
         329    -134.246    -134.321   0.0249281
         330    -133.562    -134.319   0.0249585
         331    -135.532    -134.323   0.0251504
         332    -134.544    -134.324   0.0250835
         333    -134.585    -134.324   0.0250205
         334    -134.166    -134.324     0.02495
         335    -134.931    -134.326   0.0249413
         336    -134.267    -134.325   0.0248677
         337    -133.894    -134.324   0.0248269
         338    -134.133    -134.324   0.0247599
         339    -134.699    -134.325   0.0247117
         340    -134.403    -134.325   0.0246401
         341    -134.363    -134.325   0.0245681
         342    -134.176    -134.325   0.0245001
         343    -133.771    -134.323   0.0244817
         344    -134.334    -134.323   0.0244106
         345    -135.182    -134.326   0.0244665
         346     -134.82    -134.327   0.0244374
         347    -133.977    -134.326   0.0243879
         348    -134.462    -134.326   0.0243209
         349    -133.163    -134.323   0.0244786
         350    -133.808    -134.322   0.0244528
         351    -134.824    -134.323   0.0244251
         352     -134.24    -134.323   0.0243568
         353     -134.71    -134.324   0.0243125
