#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1    0.850285    0.850285           0
           2    0.855633    0.852959  0.00189049
           3    0.859022     0.85498  0.00207642
           4    0.862149    0.856772  0.00219867
           5     0.85377    0.856172  0.00183909
           6    0.856364    0.856204  0.00153286
           7      0.8509    0.855446   0.0014894
           8    0.859987    0.856014  0.00140725
           9    0.850489      0.8554   0.0013783
          10     0.85476    0.855336  0.00124195
