#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
         168     9.68727     9.65161  0.00302007
         169     9.63555     9.65152   0.0030037
         170     9.67325     9.65165  0.00298875
         171      9.6262      9.6515  0.00297497
         172     9.62794     9.65136  0.00296083
         173     9.59956     9.65106  0.00295881
         174     9.62585     9.65092  0.00294536
         175     9.65635     9.65095  0.00292869
         176      9.5732     9.65051  0.00294518
         177     9.64143     9.65045  0.00292899
         178     9.63824     9.65039  0.00291333
         179     9.58443     9.65002  0.00292027
         180     9.66359     9.65009  0.00290502
         181     9.61951     9.64992  0.00289387
         182     9.67039     9.65004  0.00288016
         183     9.70093     9.65031  0.00287782
         184     9.60889     9.65009  0.00287097
         185     9.64714     9.65007   0.0028555
         186     9.69042     9.65029  0.00284837
         187     9.59202     9.64998  0.00285013
         188      9.6821     9.65015  0.00284009
         189     9.65103     9.65015  0.00282507
         190     9.65791      9.6502   0.0028105
         191     9.68676     9.65039  0.00280229
         192     9.65821     9.65043    0.002788
         193     9.59921     9.65016  0.00278615
         194     9.75787     9.65072  0.00282657
         195     9.58435     9.65038  0.00283249
         196     9.75615     9.65092  0.00286899
         197     9.54809     9.65039  0.00290152
         198     9.67086      9.6505   0.0028887
         199     9.60758     9.65028  0.00288223
         200     9.67219     9.65039   0.0028699
         201     9.69215      9.6506  0.00286313
         202     9.64181     9.65056  0.00284928
         203     9.69073     9.65075  0.00284211
         204      9.6241     9.65062  0.00283118
         205     9.64714     9.65061  0.00281742
         206     9.63216     9.65052  0.00280517
         207     9.68737     9.65069  0.00279726
         208      9.6363     9.65063  0.00278467
         209     9.57565     9.65027  0.00279436
         210     9.66711     9.65035   0.0027822
         211     9.61496     9.65018  0.00277406
         212     9.65951     9.65022  0.00276133
         213      9.6912     9.65042  0.00275506
         214     9.67772     9.65054  0.00274514
         215     9.60179     9.65032  0.00274172
         216     9.65916     9.65036  0.00272933
         217      9.6585      9.6504  0.00271701
         218      9.6595     9.65044  0.00270487
         219     9.68115     9.65058  0.00269615
         220     9.63738     9.65052  0.00268456
         221     9.69183      9.6507  0.00267892
         222     9.67303      9.6508  0.00266873
