#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1    0.797408    0.797408           0
           2    0.804704    0.801056  0.00257955
           3    0.805077    0.802396  0.00203838
           4    0.805526    0.803178  0.00167225
           5    0.809696    0.804482  0.00177452
           6    0.804317    0.804454  0.00147898
           7    0.801183    0.803987   0.0013395
           8    0.806472    0.804298  0.00120755
           9    0.803963    0.804261  0.00107395
          10    0.809717    0.804806  0.00109643
