#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         167    0.812869    0.804589 0.000375906
         168    0.798966    0.804555 0.000375155
         169    0.803944    0.804552 0.000372953
         170    0.798597    0.804517   0.0003724
         171    0.803251    0.804509 0.000370296
         172    0.806017    0.804518 0.000368247
         173    0.809979     0.80455 0.000367469
         174    0.806773    0.804562 0.000365579
         175    0.802078    0.804548 0.000363765
         176    0.811003    0.804585 0.000363543
         177    0.802726    0.804574  0.00036164
         178    0.803796     0.80457 0.000359635
         179    0.810307    0.804602 0.000359051
         180    0.800547    0.804579 0.000357762
         181     0.80757    0.804596 0.000356167
         182    0.802324    0.804583 0.000354429
         183    0.795048    0.804531 0.000356302
         184    0.810414    0.804563 0.000355797
         185    0.805383    0.804568 0.000353901
         186    0.798319    0.804534 0.000353589
         187    0.812275    0.804576 0.000354113
         188    0.798769    0.804545 0.000353574
         189    0.803256    0.804538 0.000351769
         190    0.802112    0.804525 0.000350149
         191    0.799244    0.804497 0.000349406
         192    0.805487    0.804503 0.000347624
         193    0.809032    0.804526 0.000346614
         194    0.792975    0.804467 0.000349904
         195    0.814062    0.804516 0.000351553
         196     0.79217    0.804453 0.000355357
         197    0.818096    0.804522 0.000360238
         198    0.802647    0.804513 0.000358544
         199    0.810566    0.804543  0.00035803
         200    0.799021    0.804515 0.000357303
         201    0.798851    0.804487 0.000356635
         202    0.806838    0.804499 0.000355059
         203    0.799789    0.804476 0.000354067
         204    0.809773    0.804502 0.000353283
         205    0.804102      0.8045 0.000351565
         206    0.802419     0.80449 0.000350003
         207    0.798059    0.804458 0.000349688
         208    0.804315    0.804458 0.000348008
         209     0.81053    0.804487 0.000347553
         210    0.799886    0.804465 0.000346588
         211    0.808257    0.804483 0.000345411
         212    0.804219    0.804482 0.000343784
         213    0.799494    0.804458 0.000342967
         214    0.798663    0.804431 0.000342431
         215    0.807576    0.804446 0.000341151
         216    0.801298    0.804431 0.000339883
         217    0.805293    0.804435  0.00033834
         218    0.804094    0.804434 0.000336791
         219    0.800668    0.804416 0.000335692
         220    0.810241    0.804443 0.000335209
         221    0.799333     0.80442 0.000334488
         222    0.803709    0.804417 0.000332997
         223    0.811997    0.804451 0.000333234
         224    0.801165    0.804436 0.000332069
         225    0.804695    0.804437 0.000330595
         226    0.811436    0.804468  0.00033058
         227    0.794086    0.804422 0.000332273
         228    0.809569    0.804445 0.000331581
         229    0.808944    0.804464 0.000330715
         230    0.797665    0.804435 0.000330596
         231    0.812634     0.80447 0.000331064
         232    0.801269    0.804457 0.000329925
         233    0.811403    0.804486 0.000329853
         234     0.80818    0.804502 0.000328821
         235    0.803433    0.804498 0.000327453
         236     0.80724    0.804509 0.000326272
         237    0.804359    0.804509 0.000324895
         238    0.807774    0.804522  0.00032382
         239    0.803463    0.804518 0.000322495
         240    0.803784    0.804515 0.000321166
         241    0.807011    0.804525     0.00032
         242    0.803383    0.804521 0.000318713
         243    0.803892    0.804518 0.000317412
         244    0.807185    0.804529 0.000316299
         245    0.804762     0.80453 0.000315009
         246    0.804285    0.804529 0.000313731
         247    0.806434    0.804537 0.000312555
         248     0.81071    0.804561 0.000312284
         249    0.796473    0.804529 0.000312715
         250    0.802522    0.804521 0.000311567
         251     0.79586    0.804486 0.000312231
         252    0.804505    0.804486 0.000310992
         253     0.80201    0.804477 0.000309917
         254    0.802235    0.804468 0.000308822
         255    0.801735    0.804457 0.000307797
         256    0.804133    0.804456 0.000306597
         257    0.810151    0.804478 0.000306204
         258    0.795162    0.804442 0.000307139
         259    0.804526    0.804442 0.000305953
         260    0.810904    0.804467 0.000305784
         261    0.805728    0.804472 0.000304651
         262    0.809395    0.804491 0.000304067
         263     0.80648    0.804498 0.000303005
         264    0.808787    0.804515 0.000302293
         265    0.799549    0.804496 0.000301732
         266    0.809597    0.804515 0.000301206
         267    0.808236    0.804529 0.000300401
         268    0.798149    0.804505 0.000300221
         269    0.802533    0.804498 0.000299195
         270    0.800864    0.804484 0.000298389
         271    0.806623    0.804492 0.000297393
         272    0.807591    0.804504 0.000296517
         273    0.806914    0.804512 0.000295563
         274    0.804528    0.804512 0.000294484
         275    0.802824    0.804506 0.000293477
         276    0.810577    0.804528 0.000293237
         277    0.802815    0.804522 0.000292243
         278    0.805514    0.804526 0.000291214
         279    0.809862    0.804545 0.000290798
         280    0.801998    0.804536 0.000289901
         281    0.809001    0.804552 0.000289305
         282    0.806906     0.80456 0.000288399
         283      0.8001    0.804544 0.000287811
         284    0.804293    0.804543 0.000286799
         285    0.799308    0.804525  0.00028638
         286    0.806948    0.804533 0.000285504
         287    0.810182    0.804553 0.000285187
         288    0.803153    0.804548 0.000284238
         289    0.797459    0.804524 0.000284311
         290     0.81324    0.804554 0.000284915
         291     0.79788    0.804531 0.000284857
         292    0.802394    0.804524 0.000283976
         293    0.812165     0.80455 0.000284202
         294    0.799536    0.804533 0.000283746
         295    0.803816     0.80453 0.000282795
         296    0.807883    0.804541 0.000282066
         297    0.804276    0.804541 0.000281118
         298    0.804785    0.804541 0.000280176
         299     0.80417     0.80454 0.000279241
         300    0.799379    0.804523  0.00027884
         301    0.811323    0.804546 0.000278827
         302    0.799994     0.80453 0.000278311
         303     0.80669    0.804538 0.000277484
         304    0.800914    0.804526 0.000276827
         305    0.807495    0.804535  0.00027609
         306    0.807096    0.804544 0.000275315
         307    0.807668    0.804554 0.000274606
         308    0.802272    0.804547 0.000273815
         309    0.811122    0.804568 0.000273754
         310     0.79813    0.804547 0.000273658
         311     0.80471    0.804548 0.000272778
         312    0.803445    0.804544 0.000271927
         313    0.804019    0.804542 0.000271063
         314      0.8076    0.804552 0.000270375
         315     0.80393     0.80455 0.000269524
         316    0.804617     0.80455 0.000268671
         317    0.807249    0.804559 0.000267958
         318    0.802856    0.804554 0.000267169
         319    0.806068    0.804558 0.000266374
         320    0.806494    0.804564  0.00026561
         321    0.805239    0.804566 0.000264791
         322    0.810812    0.804586 0.000264678
         323    0.802067    0.804578 0.000263973
         324    0.811746      0.8046 0.000264084
         325     0.80011    0.804586 0.000263633
         326    0.810111    0.804603 0.000263368
         327    0.803394      0.8046 0.000262589
         328    0.802588    0.804593  0.00026186
         329    0.808301    0.804605 0.000261306
         330    0.805881    0.804609 0.000260543
         331    0.807378    0.804617  0.00025989
         332    0.803864    0.804615 0.000259117
         333    0.805843    0.804618 0.000258365
         334    0.806781    0.804625 0.000257673
         335    0.804052    0.804623 0.000256909
         336    0.801534    0.804614 0.000256309
         337    0.801251    0.804604 0.000255743
         338    0.811423    0.804624 0.000255781
         339    0.800991    0.804613 0.000255251
         340    0.809349    0.804627  0.00025488
         341    0.800155    0.804614 0.000254469
         342    0.799917      0.8046 0.000254096
         343    0.812926    0.804625 0.000254512
         344    0.798565    0.804607 0.000254381
         345    0.813143    0.804632 0.000254844
         346    0.802205    0.804625 0.000254204
         347    0.809569    0.804639  0.00025387
         348    0.801856    0.804631 0.000253267
         349     0.79929    0.804616 0.000253003
         350    0.807479    0.804624 0.000252412
         351    0.803462    0.804621 0.000251715
         352    0.808556    0.804632 0.000251248
         353    0.806862    0.804638 0.000250616
         354    0.806008    0.804642 0.000249937
         355    0.801563    0.804633 0.000249384
         356    0.803877    0.804631 0.000248692
         357    0.808922    0.804643 0.000248286
         358    0.803211    0.804639 0.000247625
         359    0.806439    0.804644 0.000246986
         360    0.807994    0.804654 0.000246475
         361    0.799912     0.80464 0.000246142
         362     0.80483    0.804641 0.000245462
         363    0.805272    0.804643 0.000244792
         364    0.807483    0.804651 0.000244244
         365    0.805795    0.804654 0.000243595
         366    0.809194    0.804666 0.000243245
         367    0.802129    0.804659 0.000242681
         368    0.802828    0.804654 0.000242072
         369     0.80378    0.804652 0.000241428
         370    0.811629    0.804671 0.000241511
         371    0.801429    0.804662 0.000241018
         372    0.810416    0.804677 0.000240866
         373     0.79608    0.804654  0.00024132
         374    0.813472    0.804678 0.000241824
         375    0.802818    0.804673  0.00024123
         376     0.80199    0.804666 0.000240694
         377    0.804326    0.804665 0.000240057
         378    0.809108    0.804677 0.000239709
         379    0.809772     0.80469 0.000239454
         380    0.797133     0.80467 0.000239648
         381    0.807751    0.804678 0.000239155
         382    0.805801    0.804681 0.000238547
         383    0.809897    0.804695 0.000238313
         384    0.799567    0.804682 0.000238066
         385    0.808817    0.804692  0.00023769
         386    0.805351    0.804694  0.00023708
         387    0.801041    0.804685 0.000236656
         388    0.812775    0.804705 0.000236963
         389    0.794925     0.80468 0.000237683
         390    0.810608    0.804695 0.000237559
         391    0.801143    0.804686 0.000237126
         392    0.814133     0.80471 0.000237742
         393    0.796297    0.804689 0.000238099
         394    0.806911    0.804695 0.000237562
         395    0.810322    0.804709 0.000237387
         396    0.808825    0.804719 0.000237015
         397    0.803867    0.804717 0.000236428
         398    0.803248    0.804713 0.000235862
         399    0.805072    0.804714 0.000235273
         400    0.800673    0.804704 0.000234902
         401    0.801941    0.804697 0.000234417
         402    0.809952     0.80471 0.000234198
         403    0.806813    0.804716 0.000233675
         404    0.800769    0.804706 0.000233301
         405    0.806593    0.804711 0.000232771
