#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
         152    -9.42728    -9.28257  0.00787611
         153     -9.4397    -9.28359  0.00789131
         154    -9.35788    -9.28408   0.0078548
         155    -9.48058    -9.28534  0.00790577
         156    -9.24443    -9.28508  0.00785944
         157    -9.17064    -9.28435   0.0078431
         158     -9.2962    -9.28443  0.00779382
         159    -9.25477    -9.28424  0.00774704
         160    -9.27471    -9.28418  0.00769885
         161    -9.44096    -9.28516  0.00771236
         162    -9.27896    -9.28512  0.00766485
         163     -9.3016    -9.28522   0.0076185
         164    -9.56517    -9.28693  0.00776092
         165    -9.26822    -9.28681  0.00771472
         166    -9.09092    -9.28563  0.00775797
         167    -9.28307    -9.28562  0.00771153
         168    -9.22339    -9.28525  0.00767452
         169    -9.16775    -9.28455  0.00766054
         170    -9.17518    -9.28391  0.00764244
         171    -9.29645    -9.28398   0.0075981
         172    -9.24617    -9.28376  0.00755711
         173    -9.27332     -9.2837  0.00751366
         174    -9.31341    -9.28387  0.00747242
         175    -9.38193    -9.28443   0.0074507
         176    -9.20141    -9.28396  0.00742329
         177    -9.23147    -9.28366  0.00738727
         178    -9.16821    -9.28302  0.00737419
         179    -9.29272    -9.28307  0.00733319
         180    -9.29748    -9.28315  0.00729289
         181    -9.29528    -9.28322   0.0072529
         182    -9.31438    -9.28339  0.00721507
         183    -9.41492    -9.28411  0.00721136
         184    -9.22322    -9.28378  0.00717975
         185    -9.34946    -9.28413  0.00714972
         186    -9.43823    -9.28496  0.00715912
         187    -9.25659    -9.28481  0.00712244
         188    -9.29511    -9.28486  0.00708477
         189    -9.29505    -9.28492  0.00704749
         190    -9.21407    -9.28454  0.00702026
         191    -9.34412    -9.28486  0.00699043
         192    -9.22911    -9.28456  0.00696004
         193    -9.40044    -9.28517  0.00694983
         194    -9.26343    -9.28505  0.00691491
         195    -9.32293    -9.28525  0.00688218
         196    -9.18011    -9.28471  0.00686794
         197    -9.23756    -9.28447  0.00683724
         198    -9.42597    -9.28519  0.00683996
         199    -9.32929    -9.28541  0.00680917
         200    -9.30524    -9.28551  0.00677585
         201    -9.32963    -9.28573   0.0067457
         202    -9.23328    -9.28547   0.0067173
         203     -9.3811    -9.28594  0.00670071
         204    -9.15398    -9.28529  0.00669901
         205    -9.39487    -9.28583  0.00668762
         206    -9.21427    -9.28548  0.00666417
         207    -9.24328    -9.28527   0.0066351
         208    -9.27912    -9.28524  0.00660326
         209    -9.37758    -9.28569  0.00658643
         210    -9.24567     -9.2855  0.00655782
         211    -9.34162    -9.28576  0.00653213
         212    -9.22624    -9.28548  0.00650735
         213    -9.18781    -9.28502  0.00649294
         214    -9.15675    -9.28442   0.0064902
         215    -9.21895    -9.28412  0.00646716
         216    -9.38577    -9.28459  0.00645432
         217    -9.26009    -9.28448  0.00642556
         218    -9.25437    -9.28434  0.00639757
         219    -9.36587    -9.28471  0.00637918
         220     -9.3319    -9.28493  0.00635379
         221    -9.25817     -9.2848  0.00632619
         222    -9.12308    -9.28408   0.0063395
         223    -9.12485    -9.28336  0.00635115
         224    -9.27835    -9.28334  0.00632284
         225     -9.1673    -9.28282  0.00631574
         226    -9.25477     -9.2827  0.00628901
         227    -9.36809    -9.28308  0.00627255
         228    -9.33013    -9.28328  0.00624843
         229    -9.38714    -9.28374  0.00623758
         230    -9.27721    -9.28371  0.00621053
