#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
         169     -179.22    -179.283   0.0268238
         170    -179.358    -179.283   0.0266696
         171    -179.978    -179.287    0.026822
         172    -178.902    -179.285   0.0267594
         173    -179.571    -179.286   0.0266557
         174    -179.355    -179.287   0.0265055
         175    -178.637    -179.283   0.0266131
         176    -179.053    -179.282    0.026494
         177     -178.94     -179.28   0.0264148
         178    -179.477    -179.281   0.0262896
         179    -178.934    -179.279    0.026214
         180    -179.017    -179.278   0.0261088
         181    -180.037    -179.282   0.0262997
         182     -179.65    -179.284   0.0262327
         183    -178.573     -179.28   0.0263756
         184    -179.304     -179.28   0.0262326
         185    -178.842    -179.278   0.0261977
         186    -178.975    -179.276   0.0261075
         187    -178.633    -179.273   0.0261934
         188    -179.165    -179.272   0.0260603
         189    -179.361    -179.273   0.0259267
         190    -179.212    -179.272   0.0257922
         191    -178.853     -179.27   0.0257503
         192     -179.41    -179.271   0.0256264
         193    -178.811    -179.268   0.0256041
         194    -179.665     -179.27   0.0255536
         195    -179.077    -179.269   0.0254419
         196    -179.359     -179.27   0.0253162
         197    -179.513    -179.271   0.0252177
         198    -179.563    -179.273   0.0251334
         199    -179.476    -179.274    0.025028
         200    -179.249    -179.274   0.0249031
         201    -179.324    -179.274   0.0247805
         202     -179.96    -179.277   0.0248899
         203    -179.238    -179.277    0.024768
         204    -179.612    -179.279   0.0247009
         205    -179.388    -179.279   0.0245862
         206    -179.401     -179.28    0.024474
         207    -179.559    -179.281    0.024393
         208    -179.241    -179.281   0.0242765
         209    -179.288    -179.281   0.0241604
         210    -179.336    -179.281   0.0240468
         211    -178.876    -179.279   0.0240094
         212    -179.613    -179.281   0.0239476
         213    -179.362    -179.281   0.0238382
         214    -178.074    -179.276   0.0243851
         215    -179.145    -179.275   0.0242793
         216     -179.62    -179.277   0.0242195
         217    -179.487    -179.278   0.0241273
         218    -179.153    -179.277   0.0240233
         219    -178.692    -179.274   0.0240615
         220     -178.93    -179.273    0.024003
         221    -179.373    -179.273   0.0238986
         222    -179.262    -179.273    0.023791
         223    -178.893    -179.271   0.0237453
         224     -179.41    -179.272   0.0236474
         225    -179.484    -179.273    0.023561
         226    -179.261    -179.273   0.0234569
         227      -178.9    -179.271   0.0234108
         228    -179.265    -179.271   0.0233082
         229    -179.429    -179.272   0.0232165
         230    -179.425    -179.273   0.0231251
         231    -178.993    -179.271   0.0230567
         232    -179.057     -179.27   0.0229759
         233    -179.377    -179.271   0.0228818
         234    -179.162     -179.27   0.0227887
         235    -179.144     -179.27    0.022698
         236    -179.602    -179.271   0.0226454
         237    -179.223    -179.271   0.0225508
         238    -179.465    -179.272   0.0224708
         239    -179.724    -179.274   0.0224562
         240    -179.764    -179.276   0.0224552
         241    -179.003    -179.275   0.0223905
         242    -179.065    -179.274   0.0223147
         243    -179.168    -179.273   0.0222272
         244    -178.621    -179.271   0.0222962
         245    -179.029     -179.27    0.022227
         246    -179.443    -179.271   0.0221479
         247    -179.515    -179.272   0.0220804
         248    -178.948     -179.27   0.0220298
         249    -179.715    -179.272   0.0220136
         250    -178.721     -179.27   0.0220355
         251    -178.665    -179.267   0.0220789
         252    -178.712    -179.265    0.022101
         253    -179.155    -179.265   0.0220179
         254    -178.994    -179.264    0.021957
         255    -179.415    -179.264   0.0218789
         256      -179.6    -179.266   0.0218328
         257    -179.215    -179.265   0.0217487
         258    -179.794    -179.267   0.0217607
         259    -179.487    -179.268   0.0216931
         260    -179.249    -179.268   0.0216098
         261    -179.124    -179.268   0.0215341
         262    -179.889     -179.27   0.0215821
         263    -179.528    -179.271   0.0215223
         264    -178.607    -179.268   0.0215873
         265    -178.869    -179.267   0.0215586
         266    -179.254    -179.267   0.0214776
         267    -179.137    -179.266   0.0214026
         268    -179.137    -179.266   0.0213282
         269    -178.968    -179.265   0.0212776
         270    -179.191    -179.265   0.0212005
         271    -179.235    -179.264   0.0211226
         272    -179.375    -179.265   0.0210488
         273    -179.325    -179.265   0.0209729
         274    -179.716    -179.267   0.0209608
         275    -179.583    -179.268   0.0209162
         276    -179.041    -179.267   0.0208565
         277    -179.613    -179.268   0.0208184
         278    -179.324    -179.269   0.0207445
         279    -179.516    -179.269   0.0206891
         280    -179.348     -179.27   0.0206172
         281     -178.71    -179.268   0.0206397
         282    -179.351    -179.268   0.0205686
         283    -179.795     -179.27   0.0205801
         284    -179.628    -179.271   0.0205462
         285    -179.837    -179.273   0.0205698
         286    -179.193    -179.273   0.0204998
         287    -179.198    -179.273     0.02043
         288    -179.709    -179.274   0.0204152
         289    -179.222    -179.274   0.0203453
         290    -179.437    -179.274   0.0202829
         291    -180.136    -179.277   0.0204281
         292    -179.303    -179.278   0.0203583
         293    -179.113    -179.277   0.0202965
         294    -179.297    -179.277   0.0202276
         295    -179.396    -179.277   0.0201631
         296    -179.422    -179.278   0.0201008
         297    -179.821     -179.28   0.0201162
         298    -179.069    -179.279    0.020061
         299    -179.255    -179.279   0.0199941
         300    -178.922    -179.278   0.0199629
         301    -178.858    -179.276   0.0199452
         302    -179.253    -179.276   0.0198793
         303    -178.818    -179.275   0.0198712
         304    -179.098    -179.274   0.0198144
         305    -179.706    -179.276      0.0198
         306    -179.506    -179.276   0.0197497
         307    -179.767    -179.278   0.0197498
         308    -179.831     -179.28   0.0197671
         309    -178.697    -179.278    0.019793
         310    -178.836    -179.276   0.0197804
         311    -179.262    -179.276   0.0197169
         312     -180.01    -179.279   0.0197934
         313    -179.154    -179.278   0.0197342
         314    -179.058    -179.278   0.0196838
         315    -179.536    -179.278   0.0196383
         316    -179.148    -179.278   0.0195805
         317    -179.726    -179.279   0.0195697
         318    -179.292    -179.279   0.0195082
         319    -179.836    -179.281   0.0195249
         320    -178.785     -179.28   0.0195254
         321    -179.482     -179.28   0.0194747
         322     -179.45    -179.281   0.0194214
