#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
         153    -12.4159     -12.407  0.00104565
         154    -12.4029     -12.407   0.0010392
         155    -12.4122     -12.407  0.00103305
         156    -12.4041     -12.407  0.00102659
         157    -12.4063     -12.407  0.00102006
         158    -12.4184     -12.407  0.00101618
         159    -12.4014     -12.407  0.00101041
         160    -12.3794    -12.4068  0.00101873
         161    -12.4228    -12.4069  0.00101724
         162    -12.4065    -12.4069  0.00101097
         163    -12.3864    -12.4068  0.00101261
         164    -12.4053    -12.4068  0.00100648
         165    -12.4116    -12.4068   0.0010008
         166    -12.4154    -12.4069 0.000996118
         167     -12.431     -12.407  0.00100056
         168    -12.3907    -12.4069 0.000999289
         169    -12.4046    -12.4069 0.000993473
         170    -12.4097    -12.4069 0.000987764
         171    -12.4327    -12.4071 0.000993407
         172    -12.3928     -12.407 0.000991087
         173    -12.4176    -12.4071 0.000987249
         174    -12.4096    -12.4071 0.000981684
         175     -12.383    -12.4069  0.00098567
         176    -12.3984    -12.4069 0.000981258
         177    -12.3942    -12.4068 0.000978325
         178    -12.4141    -12.4069 0.000973687
         179     -12.394    -12.4068 0.000970887
         180    -12.3971    -12.4067 0.000966993
         181    -12.4349    -12.4069 0.000974064
         182    -12.4205     -12.407 0.000971582
         183    -12.3806    -12.4068 0.000976876
         184    -12.4077    -12.4068 0.000971578
         185    -12.3906    -12.4067 0.000970284
         186    -12.3955    -12.4067 0.000966944
         187    -12.3829    -12.4065 0.000970124
         188    -12.4026    -12.4065 0.000965196
         189    -12.4098    -12.4065 0.000960248
         190    -12.4043    -12.4065 0.000955267
         191     -12.391    -12.4064 0.000953713
         192    -12.4116    -12.4065 0.000949126
         193    -12.3894    -12.4064 0.000948302
         194    -12.4211    -12.4065 0.000946431
         195    -12.3993    -12.4064 0.000942293
         196    -12.4097    -12.4064 0.000937636
         197    -12.4154    -12.4065  0.00093399
         198    -12.4173    -12.4065 0.000930868
         199    -12.4141    -12.4066 0.000926962
         200    -12.4057    -12.4066 0.000922339
         201    -12.4084    -12.4066 0.000917796
         202     -12.432    -12.4067 0.000921848
         203    -12.4053    -12.4067 0.000917334
         204    -12.4191    -12.4068 0.000914848
         205    -12.4108    -12.4068   0.0009106
         206    -12.4113    -12.4068 0.000906444
         207    -12.4172    -12.4069 0.000903445
         208    -12.4054    -12.4068  0.00089913
         209    -12.4071    -12.4068 0.000894829
         210    -12.4089    -12.4069 0.000890621
         211    -12.3918    -12.4068 0.000889236
         212    -12.4191    -12.4068 0.000886948
         213    -12.4098    -12.4069 0.000882896
         214    -12.3621    -12.4066 0.000903152
         215    -12.4018    -12.4066 0.000899232
         216    -12.4194    -12.4067 0.000897017
