#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
         173         1.2         1.2 6.79749e-09
         174         1.2         1.2 6.77792e-09
         175         1.2         1.2 6.75853e-09
         176         1.2         1.2 7.01449e-09
         177         1.2         1.2 6.99465e-09
         178         1.2         1.2 6.97497e-09
         179         1.2         1.2 6.95546e-09
         180         1.2         1.2 6.93611e-09
         181         1.2         1.2 6.91693e-09
         182         1.2         1.2  6.8979e-09
         183         1.2         1.2 6.87902e-09
         184         1.2         1.2 6.86031e-09
         185         1.2         1.2 6.84174e-09
         186         1.2         1.2 6.82332e-09
         187         1.2         1.2 6.80505e-09
         188         1.2         1.2 6.78693e-09
         189         1.2         1.2 6.76895e-09
         190         1.2         1.2 6.75112e-09
         191         1.2         1.2 6.73342e-09
         192         1.2         1.2 6.71586e-09
         193         1.2         1.2 6.69844e-09
         194         1.2         1.2 6.68116e-09
         195         1.2         1.2   6.664e-09
         196         1.2         1.2 6.81528e-09
         197         1.2         1.2 6.79797e-09
         198         1.2         1.2 6.78078e-09
         199         1.2         1.2 6.76372e-09
         200         1.2         1.2 6.74679e-09
         201         1.2         1.2 6.72998e-09
         202         1.2         1.2  6.7133e-09
         203         1.2         1.2 6.69675e-09
         204         1.2         1.2 6.68032e-09
         205         1.2         1.2   6.664e-09
         206         1.2         1.2 6.64781e-09
         207         1.2         1.2 6.63173e-09
         208         1.2         1.2 6.61577e-09
         209         1.2         1.2 6.59992e-09
         210         1.2         1.2 6.58419e-09
         211         1.2         1.2 6.56857e-09
         212         1.2         1.2 6.55306e-09
         213         1.2         1.2 6.53766e-09
         214         1.2         1.2 6.52237e-09
         215         1.2         1.2 6.34648e-09
         216         1.2         1.2 6.33178e-09
         217         1.2         1.2 6.06934e-09
         218         1.2         1.2 5.88479e-09
         219         1.2         1.2 5.87134e-09
         220         1.2         1.2 5.68308e-09
         221         1.2         1.2 5.67021e-09
         222         1.2         1.2 5.38571e-09
         223         1.2         1.2 5.37362e-09
         224         1.2         1.2 5.17342e-09
         225         1.2         1.2 5.16191e-09
         226         1.2         1.2 4.85592e-09
         227         1.2         1.2 4.84521e-09
         228         1.2         1.2 4.62875e-09
         229         1.2         1.2 4.61864e-09
         230         1.2         1.2 4.39411e-09
         231         1.2         1.2 4.38459e-09
         232         1.2         1.2 4.03367e-09
         233         1.2         1.2 4.02501e-09
         234         1.2         1.2 3.77275e-09
         235         1.2         1.2 3.76471e-09
         236         1.2         1.2 3.36012e-09
         237         1.2         1.2 3.35302e-09
         238         1.2         1.2 3.34597e-09
         239         1.2         1.2 3.04804e-09
         240         1.2         1.2 3.04169e-09
         241         1.2         1.2 2.71492e-09
         242         1.2         1.2  2.7093e-09
         243         1.2         1.2 2.13748e-09
         244         1.2         1.2  2.1331e-09
         245         1.2         1.2 1.64891e-09
         246         1.2         1.2 1.64556e-09
         247         1.2         1.2 1.64222e-09
         248         1.2         1.2           0
         249         1.2         1.2           0
         250         1.2         1.2  1.3328e-09
         251         1.2         1.2 1.33014e-09
         252         1.2         1.2  1.3275e-09
         253         1.2         1.2 1.87366e-09
         254         1.2         1.2 1.86996e-09
         255         1.2         1.2 2.46887e-09
         256         1.2         1.2 2.46405e-09
         257         1.2         1.2 2.45925e-09
         258         1.2         1.2 2.78312e-09
         259         1.2         1.2 2.77774e-09
         260         1.2         1.2 3.20128e-09
         261         1.2         1.2 3.19514e-09
         262         1.2         1.2 3.18904e-09
         263         1.2         1.2   3.438e-09
         264         1.2         1.2 3.43149e-09
         265         1.2         1.2   3.425e-09
         266         1.2         1.2  3.6546e-09
         267         1.2         1.2 3.64775e-09
         268         1.2         1.2 3.64093e-09
         269         1.2         1.2 3.96023e-09
         270         1.2         1.2 3.95289e-09
         271         1.2         1.2 4.14806e-09
         272         1.2         1.2 4.14043e-09
         273         1.2         1.2 4.13284e-09
         274         1.2         1.2 4.41012e-09
         275         1.2         1.2 4.40209e-09
         276         1.2         1.2 4.39411e-09
         277         1.2         1.2 4.56527e-09
         278         1.2         1.2 4.55706e-09
         279         1.2         1.2 4.54888e-09
         280         1.2         1.2 4.71216e-09
         281         1.2         1.2 4.70377e-09
         282         1.2         1.2 4.69542e-09
         283         1.2         1.2 4.93183e-09
         284         1.2         1.2 4.92314e-09
         285         1.2         1.2 4.91449e-09
         286         1.2         1.2 4.90589e-09
         287         1.2         1.2 5.05285e-09
         288         1.2         1.2 5.04407e-09
         289         1.2         1.2 5.03533e-09
         290         1.2         1.2 5.25016e-09
         291         1.2         1.2 5.24113e-09
         292         1.2         1.2 5.23215e-09
         293         1.2         1.2 5.36634e-09
         294         1.2         1.2  5.3572e-09
         295         1.2         1.2 5.34812e-09
         296         1.2         1.2 5.47778e-09
         297         1.2         1.2 5.46855e-09
         298         1.2         1.2 5.45936e-09
         299         1.2         1.2 5.45023e-09
         300         1.2         1.2 5.64149e-09
