#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
         168     1.97319     2.19829   0.0114245
         169      2.2233     2.19843   0.0113579
         170     2.18582     2.19836   0.0112913
         171     2.08833     2.19772   0.0112436
         172     2.19359     2.19769   0.0111783
         173      2.2349     2.19791   0.0111157
         174     2.30962     2.19855   0.0110704
         175     2.38143      2.1996   0.0110563
         176     2.38116     2.20063   0.0110415
         177     2.28755     2.20112   0.0109901
         178     2.15725     2.20087   0.0109311
         179     2.21326     2.20094   0.0108702
         180     2.28965     2.20143    0.010821
         181     2.21832     2.20153   0.0107616
         182     2.25662     2.20183   0.0107068
         183     2.23929     2.20203   0.0106502
         184     2.27833     2.20245   0.0106004
         185     2.04173     2.20158   0.0105786
         186      2.4555     2.20295   0.0106095
         187     2.12147     2.20251   0.0105617
         188     2.26833     2.20286   0.0105113
         189     2.41184     2.20397   0.0105137
         190     2.30092     2.20448   0.0104707
         191     2.19147     2.20441   0.0104161
         192     2.14568      2.2041   0.0103664
         193     2.31926      2.2047   0.0103298
         194     1.89556      2.2031   0.0103988
         195      2.1864     2.20302   0.0103458
         196     2.43913     2.20422   0.0103629
         197     2.41914     2.20531   0.0103676
         198     2.33549     2.20597    0.010336
         199     2.17883     2.20584    0.010285
         200     2.25348     2.20607   0.0102363
         201     2.50563     2.20756   0.0102933
         202     2.24693     2.20776   0.0102442
         203     2.11667     2.20731   0.0102035
         204      2.1152     2.20686   0.0101635
         205     2.24886     2.20706    0.010116
         206     2.16497     2.20686    0.010069
         207     2.20033     2.20683   0.0100204
         208     2.43152     2.20791   0.0100302
         209     2.01587     2.20699   0.0100243
         210     2.30149     2.20744  0.00998661
         211     2.01693     2.20654  0.00998002
         212      2.0421     2.20576  0.00996304
         213     2.14608     2.20548   0.0099202
         214     2.12163     2.20509  0.00988158
         215     2.17543     2.20495  0.00983658
         216     1.95864     2.20381  0.00985692
         217     2.12784     2.20346  0.00981771
         218     2.04787     2.20275  0.00979858
         219     2.09698     2.20226  0.00976574
         220     2.09263     2.20177  0.00973405
         221     2.50789     2.20315  0.00978807
         222     2.33356     2.20374  0.00976159
         223     2.21812      2.2038  0.00971803
         224     2.02587     2.20301  0.00970706
         225     1.88236     2.20158  0.00976796
         226     2.20962     2.20162   0.0097248
         227     2.15951     2.20143  0.00968373
         228     2.06795     2.20085  0.00965894
         229     2.04472     2.20017  0.00964079
         230     2.37486     2.20093  0.00962875
         231     2.03406      2.2002  0.00961413
         232     1.96009     2.19917  0.00962824
         233     2.18667     2.19911  0.00958706
         234     2.04722     2.19847  0.00956804
         235     2.13851     2.19821  0.00953073
         236      2.2203      2.1983   0.0094908
         237     2.19249     2.19828  0.00945079
         238     2.28866     2.19866  0.00941871
         239     2.43487     2.19965  0.00943101
         240     2.22047     2.19973  0.00939211
         241     2.12235     2.19941  0.00935863
         242     2.28925     2.19978  0.00932731
         243     2.27061     2.20008  0.00929348
         244     2.23884     2.20023  0.00925675
         245     2.23162     2.20036  0.00921986
         246     2.16621     2.20022  0.00918342
         247      2.3358     2.20077  0.00916263
         248     2.24448     2.20095  0.00912738
         249     2.23832      2.2011  0.00909196
         250     2.10126      2.2007  0.00906435
         251     2.10176     2.20031  0.00903681
         252     2.34293     2.20087  0.00901865
         253     2.01063     2.20012   0.0090143
         254     2.24552      2.2003  0.00898058
         255     2.15761     2.20013  0.00894693
         256     2.33425     2.20065   0.0089273
         257     2.13104     2.20038  0.00889667
         258     2.14478     2.20017   0.0088648
         259     2.36918     2.20082  0.00885456
         260     2.17596     2.20073  0.00882102
         261     2.16713      2.2006  0.00878816
         262     2.24962     2.20078  0.00875661
