#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
         168     1.69729     1.66554   0.0022095
         169     1.68994     1.66568  0.00220113
         170      1.6569     1.66563  0.00218879
         171     1.67369     1.66568   0.0021765
         172     1.64987     1.66559  0.00216579
         173     1.64815     1.66549  0.00215561
         174     1.65005      1.6654  0.00214505
         175     1.66012     1.66537    0.002133
         176      1.6487     1.66527  0.00212298
         177     1.64494     1.66516  0.00211409
         178     1.66359     1.66515  0.00210224
         179     1.65089     1.66507    0.002092
         180     1.63915     1.66492  0.00208533
         181     1.63895     1.66478  0.00207874
         182     1.67896     1.66486  0.00206877
         183     1.64553     1.66475  0.00206016
         184     1.64083     1.66462  0.00205306
         185     1.69229     1.66477  0.00204741
         186     1.59706     1.66441  0.00206851
         187     1.67519     1.66447  0.00205825
         188     1.64446     1.66436  0.00205005
         189      1.6681     1.66438   0.0020393
         190     1.67331     1.66443  0.00202911
         191     1.66614     1.66444  0.00201851
         192     1.68868     1.66456  0.00201194
         193     1.65309      1.6645  0.00200239
         194      1.7268     1.66482  0.00201766
         195     1.63214     1.66466  0.00201426
         196     1.61441      1.6644  0.00202022
         197      1.6377     1.66426  0.00201451
         198     1.64249     1.66415  0.00200734
         199     1.67314      1.6642  0.00199776
         200     1.65743     1.66417  0.00198805
         201     1.61522     1.66392  0.00199302
         202     1.64024      1.6638   0.0019866
         203     1.67686     1.66387  0.00197786
         204     1.65412     1.66382  0.00196874
         205     1.64385     1.66372  0.00196154
         206      1.6707     1.66376  0.00195231
         207     1.68233     1.66385  0.00194494
         208     1.63264      1.6637  0.00194137
         209     1.68102     1.66378  0.00193385
         210     1.64328     1.66368   0.0019271
         211       1.681     1.66376  0.00191972
         212     1.68592     1.66387   0.0019135
         213     1.69297     1.66401  0.00190939
         214     1.69097     1.66413  0.00190462
         215     1.67333     1.66417  0.00189624
         216     1.69638     1.66432  0.00189331
         217     1.67176     1.66436   0.0018849
         218     1.70902     1.66456  0.00188735
         219      1.6655     1.66457  0.00187874
         220     1.66813     1.66458  0.00187027
         221     1.62829     1.66442    0.001869
         222      1.6555     1.66438  0.00186101
         223     1.66087     1.66436  0.00185274
         224      1.6636     1.66436  0.00184447
         225     1.68409     1.66445  0.00183835
         226     1.64522     1.66436  0.00183219
         227     1.65604     1.66433  0.00182448
         228      1.6936     1.66445  0.00182099
         229     1.70505     1.66463  0.00182165
         230     1.63993     1.66452  0.00181689
         231     1.68097     1.66459  0.00181042
         232     1.70054     1.66475  0.00180923
         233     1.64824     1.66468  0.00180285
         234     1.68812     1.66478  0.00179793
         235      1.6806     1.66485  0.00179154
