#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     1.01869     1.01869           0
           2     1.01919     1.01894 0.000176036
           3     1.00584     1.01457  0.00356929
           4    0.980349     1.00602  0.00787885
           5      1.0234     1.00949  0.00702833
           6    0.995264     1.00712  0.00624431
           7     1.01929     1.00886  0.00558894
           8    0.975401     1.00468  0.00626272
           9     1.02658     1.00711  0.00602119
          10     1.03208     1.00961  0.00591416
