#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
         171    -133.902    -133.713   0.0575236
         172     -133.35    -133.711   0.0572279
         173    -133.226    -133.708   0.0569657
         174    -133.277    -133.705    0.056692
         175    -133.522    -133.704   0.0563777
         176    -133.287    -133.702   0.0561072
         177    -133.182    -133.699   0.0558671
         178    -133.655    -133.699   0.0555538
         179    -133.334    -133.697   0.0552807
         180    -133.003    -133.693   0.0551076
         181    -132.999    -133.689   0.0549362
         182    -133.973    -133.691   0.0546566
         183    -133.128    -133.687   0.0544442
         184    -133.083    -133.684   0.0542474
         185    -134.419    -133.688   0.0540994
         186    -131.889    -133.678   0.0546661
         187    -133.964     -133.68    0.054395
         188    -133.139    -133.677   0.0541817
         189    -133.782    -133.678   0.0538978
         190    -133.885    -133.679   0.0536252
         191    -133.673    -133.679   0.0533445
         192    -134.307    -133.682    0.053167
         193    -133.375     -133.68   0.0529152
         194    -135.366    -133.689   0.0533508
         195     -132.88    -133.685   0.0532385
         196    -132.358    -133.678   0.0533957
         197    -132.956    -133.675   0.0532504
         198    -133.073    -133.671   0.0530681
         199    -133.856    -133.672   0.0528096
         200    -133.504    -133.672   0.0525522
         201    -132.478    -133.666   0.0526253
         202    -133.078    -133.663   0.0524453
         203    -134.013    -133.664   0.0522153
         204     -133.44    -133.663   0.0519709
         205    -133.159    -133.661   0.0517756
         206    -133.827    -133.662   0.0515305
         207    -134.125    -133.664   0.0513302
         208     -132.79     -133.66    0.051255
         209    -134.122    -133.662   0.0510575
         210    -133.101    -133.659   0.0508842
         211    -134.144    -133.662   0.0506949
         212    -134.276    -133.664   0.0505386
         213      -134.4    -133.668   0.0504192
         214    -134.368    -133.671   0.0502897
         215     -133.99    -133.673   0.0500776
         216    -134.556    -133.677   0.0500126
         217    -133.913    -133.678    0.049794
         218    -134.859    -133.683   0.0498595
         219    -133.699    -133.683   0.0496319
         220    -133.836    -133.684   0.0494112
         221    -132.722     -133.68   0.0493789
         222    -133.375    -133.678   0.0491755
         223    -133.554    -133.678   0.0489582
         224    -133.727    -133.678   0.0487401
         225    -134.229     -133.68   0.0485851
         226    -133.102    -133.678   0.0484374
         227    -133.469    -133.677   0.0482328
         228    -134.481     -133.68   0.0481501
         229    -134.757    -133.685   0.0481688
         230    -133.038    -133.682   0.0480415
         231    -134.137    -133.684   0.0478738
         232    -134.627    -133.688   0.0478394
         233    -133.309    -133.687   0.0476617
         234    -134.344     -133.69   0.0475407
         235    -134.171    -133.692   0.0473825
         236    -134.367    -133.694    0.047268
         237    -134.542    -133.698   0.0472036
         238    -133.449    -133.697   0.0470168
         239     -132.81    -133.693   0.0469663
         240    -133.297    -133.692   0.0467996
         241    -134.492    -133.695   0.0467231
         242    -132.983    -133.692   0.0466227
         243    -133.613    -133.692    0.046432
         244    -133.055    -133.689   0.0463149
         245    -133.253    -133.687   0.0461601
         246    -134.209    -133.689   0.0460211
         247    -133.328    -133.688    0.045858
         248     -133.73    -133.688   0.0456734
         249    -132.992    -133.685   0.0455754
         250    -134.195    -133.687   0.0454387
         251    -134.895    -133.692   0.0455116
         252    -132.601    -133.688   0.0455365
         253    -134.039    -133.689   0.0453777
         254    -133.277    -133.688    0.045228
         255    -133.595    -133.687   0.0450521
         256    -132.738    -133.684   0.0450285
         257    -134.373    -133.686   0.0449331
         258    -133.266    -133.685   0.0447886
         259    -132.498     -133.68   0.0448495
         260    -133.588     -133.68   0.0446784
         261    -134.006    -133.681   0.0445247
         262    -133.384     -133.68   0.0443692
         263    -133.976    -133.681   0.0442147
         264    -133.172    -133.679   0.0440893
         265    -132.796    -133.676   0.0440487
         266    -133.704    -133.676   0.0438832
         267    -132.649    -133.672   0.0438871
         268    -133.648    -133.672   0.0437234
         269    -133.643    -133.672    0.043561
         270    -135.344    -133.678   0.0438378
         271    -133.595    -133.678   0.0436771
         272      -133.8    -133.678   0.0435188
         273    -133.555    -133.678   0.0433617
         274    -133.392    -133.677    0.043216
         275    -134.726     -133.68   0.0432271
         276    -134.747    -133.684   0.0432429
         277    -134.069    -133.686   0.0431091
         278    -133.274    -133.684   0.0429795
         279    -132.851    -133.681   0.0429291
         280    -133.166    -133.679   0.0428151
         281    -131.964    -133.673   0.0430955
         282     -134.41    -133.676   0.0430219
         283    -133.802    -133.676   0.0428722
         284    -133.431    -133.675   0.0427299
         285     -135.36    -133.681   0.0429871
         286    -135.095    -133.686     0.04312
         287    -134.179    -133.688   0.0430039
         288    -133.896    -133.689   0.0428606
         289    -132.689    -133.685   0.0428518
         290     -133.54    -133.685    0.042707
         291    -133.863    -133.685   0.0425646
         292    -134.415    -133.688   0.0424922
         293    -133.879    -133.689   0.0423522
         294    -134.432    -133.691   0.0422835
         295    -133.103    -133.689   0.0421872
         296    -134.221    -133.691    0.042083
         297    -134.506    -133.694   0.0420306
         298    -134.156    -133.695   0.0419183
         299    -132.822    -133.692   0.0418797
         300    -133.012     -133.69   0.0418015
         301    -133.938    -133.691   0.0416707
         302    -133.823    -133.691    0.041535
         303    -135.528    -133.697   0.0418379
         304     -133.31    -133.696   0.0417197
         305     -135.26    -133.701    0.041897
         306    -133.913    -133.702   0.0417658
         307    -134.189    -133.703   0.0416599
         308    -133.647    -133.703    0.041525
         309     -134.09    -133.704   0.0414095
         310    -134.326    -133.706   0.0413245
         311    -133.751    -133.707   0.0411919
         312    -133.137    -133.705   0.0411003
         313    -132.994    -133.703   0.0410317
         314    -133.501    -133.702   0.0409061
         315      -133.7    -133.702   0.0407762
         316    -133.119      -133.7   0.0406889
         317    -133.353    -133.699   0.0405753
         318    -133.422    -133.698   0.0404571
         319    -133.473    -133.697   0.0403364
         320    -134.874    -133.701   0.0403775
         321    -133.805    -133.701   0.0402531
         322    -134.165    -133.703   0.0401538
         323    -132.699      -133.7   0.0401497
         324     -133.66      -133.7   0.0400259
         325    -134.247    -133.701   0.0399382
         326    -134.158    -133.703   0.0398402
         327    -133.396    -133.702   0.0397294
         328    -132.726    -133.699   0.0397195
         329    -134.217      -133.7     0.03963
         330    -133.038    -133.698   0.0395607
         331    -133.393    -133.697   0.0394519
         332    -132.555    -133.694   0.0394828
         333    -132.318     -133.69   0.0395798
         334     -134.19    -133.691   0.0394896
         335    -132.324    -133.687   0.0395822
         336    -133.899    -133.688   0.0394694
         337    -134.387     -133.69   0.0394069
         338    -133.473    -133.689   0.0392955
         339     -134.76    -133.692   0.0393063
         340    -133.356    -133.691   0.0392031
         341    -133.422    -133.691   0.0390961
         342    -133.398     -133.69   0.0389912
         343      -133.5    -133.689   0.0388814
         344    -134.846    -133.693   0.0389135
         345    -133.458    -133.692   0.0388067
         346    -133.439    -133.691   0.0387014
         347    -135.759    -133.697   0.0390458
         348    -135.102    -133.701   0.0391416
         349    -133.116      -133.7   0.0390654
         350    -133.411    -133.699   0.0389625
         351    -134.107      -133.7   0.0388688
         352    -133.843      -133.7   0.0387605
         353     -135.49    -133.705   0.0389808
         354    -132.746    -133.703   0.0389648
         355    -132.392    -133.699   0.0390296
         356    -132.946    -133.697   0.0389772
         357    -134.726      -133.7   0.0389745
         358    -134.209    -133.701   0.0388916
         359    -134.294    -133.703   0.0388183
         360     -132.65      -133.7   0.0388205
         361    -133.418    -133.699   0.0387209
         362    -133.022    -133.697   0.0386591
         363    -133.593    -133.697   0.0385537
         364    -134.074    -133.698   0.0384617
         365    -133.057    -133.696   0.0383965
         366    -134.836    -133.699   0.0384175
         367    -134.934    -133.703   0.0384598
         368    -132.838      -133.7    0.038427
         369    -133.933    -133.701    0.038328
         370    -134.533    -133.703   0.0382903
         371     -133.83    -133.704   0.0381886
         372    -133.546    -133.703   0.0380883
         373    -134.141    -133.704   0.0380042
         374    -133.789    -133.705   0.0379033
         375    -133.558    -133.704   0.0378042
         376    -133.332    -133.703   0.0377167
         377    -132.927    -133.701   0.0376728
         378    -134.612    -133.704   0.0376502
         379     -133.88    -133.704   0.0375537
         380      -132.6    -133.701   0.0375671
         381    -132.812    -133.699    0.037541
         382    -134.284      -133.7    0.037474
         383    -134.206    -133.702   0.0373994
         384    -132.834    -133.699   0.0373702
         385    -134.447    -133.701   0.0373236
         386    -134.336    -133.703   0.0372632
         387    -133.933    -133.704   0.0371717
         388    -135.052    -133.707    0.037238
         389    -133.768    -133.707   0.0371426
         390    -133.534    -133.707     0.03705
         391    -133.387    -133.706   0.0369642
         392    -133.851    -133.706   0.0368718
         393    -134.213    -133.708   0.0368005
