#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     1.21225     1.21225           0
           2      1.2218     1.21703  0.00337753
           3     1.21407     1.21604  0.00239133
           4     1.24276     1.22272  0.00605578
           5     1.21963      1.2221  0.00487612
           6     1.20311     1.21894  0.00498571
           7     1.21508     1.21839  0.00430377
           8     1.21016     1.21736  0.00388679
           9     1.23574      1.2194  0.00395528
          10     1.21467     1.21893  0.00358793
