#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     1.05277     1.05277           0
           2     1.03117     1.04197  0.00763826
           3     1.02482     1.03625  0.00690849
           4     1.05216     1.04023  0.00622164
           5     1.05085     1.04235  0.00532742
           6     1.06058     1.04539  0.00523454
           7     1.04264       1.045  0.00450154
           8     1.03483     1.04373  0.00411447
           9     1.03798     1.04309   0.0037066
          10     1.04212     1.04299   0.0033372
