#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         168     1.13152     1.11036    0.001473
         169     1.12662     1.11045  0.00146742
         170      1.1046     1.11042  0.00145919
         171     1.11579     1.11045    0.001451
         172     1.09991     1.11039  0.00144386
         173     1.09876     1.11032  0.00143707
         174     1.10003     1.11026  0.00143003
         175     1.10675     1.11024    0.001422
         176     1.09913     1.11018  0.00141532
         177     1.09663      1.1101   0.0014094
         178     1.10906      1.1101  0.00140149
         179     1.10059     1.11005  0.00139467
         180     1.09277     1.10995  0.00139022
         181     1.09264     1.10985  0.00138582
         182      1.1193     1.10991  0.00137918
         183     1.09702     1.10984  0.00137344
         184     1.09389     1.10975  0.00136871
         185      1.1282     1.10985  0.00136494
         186     1.06471     1.10961  0.00137901
         187     1.11679     1.10964  0.00137217
         188     1.09631     1.10957   0.0013667
         189     1.11207     1.10959  0.00135954
         190     1.11554     1.10962  0.00135274
         191     1.11076     1.10962  0.00134567
         192     1.12579     1.10971  0.00134129
         193     1.10206     1.10967  0.00133493
         194      1.1512     1.10988   0.0013451
         195      1.0881     1.10977  0.00134284
         196     1.07628      1.1096  0.00134682
         197      1.0918     1.10951  0.00134301
         198     1.09499     1.10944  0.00133822
         199     1.11542     1.10947  0.00133184
         200     1.10495     1.10944  0.00132537
         201     1.07681     1.10928  0.00132868
         202     1.09349      1.1092   0.0013244
         203     1.11791     1.10925  0.00131857
         204     1.10275     1.10921  0.00131249
         205      1.0959     1.10915   0.0013077
         206      1.1138     1.10917  0.00130154
         207     1.12155     1.10923  0.00129663
         208     1.08843     1.10913  0.00129425
         209     1.12068     1.10919  0.00128923
         210     1.09552     1.10912  0.00128474
         211     1.12066     1.10918  0.00127981
         212     1.12394     1.10925  0.00127567
         213     1.12864     1.10934  0.00127293
         214     1.12731     1.10942  0.00126975
         215     1.11555     1.10945  0.00126416
         216     1.13092     1.10955  0.00126221
         217     1.11451     1.10957   0.0012566
         218     1.13934     1.10971  0.00125824
         219     1.11033     1.10971  0.00125249
         220     1.11209     1.10972  0.00124685
         221     1.08553     1.10961    0.001246
         222     1.10367     1.10959  0.00124068
         223     1.10725     1.10958  0.00123516
         224     1.10907     1.10957  0.00122965
         225     1.12272     1.10963  0.00122557
         226     1.09682     1.10957  0.00122146
         227     1.10402     1.10955  0.00121632
         228     1.12906     1.10964  0.00121399
         229      1.1367     1.10975  0.00121443
         230     1.09328     1.10968  0.00121126
         231     1.12064     1.10973  0.00120695
         232     1.13369     1.10983  0.00120615
         233     1.09883     1.10979   0.0012019
         234     1.12541     1.10985  0.00119862
         235      1.1204      1.1099  0.00119436
         236     1.12608     1.10997  0.00119126
         237     1.13031     1.11005  0.00118933
         238     1.10281     1.11002  0.00118472
         239      1.0886     1.10993  0.00118314
         240     1.10109      1.1099  0.00117879
         241     1.12866     1.10997  0.00117646
         242      1.0909     1.10989  0.00117424
         243     1.10759     1.10988  0.00116945
         244     1.09312     1.10982  0.00116667
         245      1.0999     1.10978  0.00116261
         246     1.12312     1.10983  0.00115915
         247     1.10034     1.10979  0.00115509
         248     1.11214      1.1098  0.00115047
         249     1.09226     1.10973  0.00114801
         250     1.12312     1.10978  0.00114466
         251      1.1394      1.1099  0.00114617
         252      1.0828     1.10979  0.00114665
         253     1.11797     1.10983  0.00114258
         254     1.09916     1.10978  0.00113885
         255     1.10721     1.10977  0.00113443
         256     1.08657     1.10968  0.00113361
         257     1.12788     1.10975  0.00113141
         258     1.09829     1.10971   0.0011279
         259     1.08047      1.1096  0.00112918
         260     1.10655     1.10959   0.0011249
         261     1.11756     1.10962    0.001121
         262     1.10236     1.10959  0.00111706
         263     1.11768     1.10962  0.00111324
         264     1.09633     1.10957  0.00111016
         265     1.08733     1.10949  0.00110914
         266     1.10941     1.10948  0.00110497
         267     1.08486     1.10939  0.00110467
         268     1.10863     1.10939  0.00110056
         269     1.10846     1.10939  0.00109647
         270     1.14984     1.10954   0.0011026
         271     1.10543     1.10952  0.00109864
         272     1.11258     1.10953  0.00109465
         273     1.10754     1.10952  0.00109067
         274     1.10156      1.1095  0.00108707
         275     1.13444     1.10959   0.0010869
         276       1.136     1.10968  0.00108717
         277     1.12036     1.10972  0.00108392
         278     1.10066     1.10969  0.00108052
         279     1.08835     1.10961  0.00107935
         280     1.09796     1.10957  0.00107629
         281     1.06632     1.10942  0.00108341
         282     1.12852     1.10948  0.00108169
         283     1.11355      1.1095  0.00107796
         284     1.10311     1.10948   0.0010744
         285     1.15228     1.10963  0.00108107
         286     1.14516     1.10975  0.00108441
