#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     1.08979     1.08979           0
           2     1.06383     1.07681  0.00917994
           3     1.07867     1.07743  0.00614089
           4     1.07201     1.07607  0.00475293
           5     1.07199     1.07526  0.00387175
           6     1.09498     1.07854  0.00440557
           7     1.04696     1.07403  0.00563125
           8     1.09581     1.07675  0.00554638
           9     1.07465     1.07652  0.00493504
          10     1.08567     1.07744  0.00452547
