#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
         152     -6.6542    -6.65451 0.000606972
         153     -6.6566    -6.65452 0.000603158
         154      -6.652    -6.65451 0.000599465
         155    -6.65534    -6.65451 0.000595621
         156    -6.66367    -6.65457 0.000594689
         157    -6.64922    -6.65454 0.000591878
         158    -6.64123    -6.65445 0.000594095
         159    -6.66875    -6.65454 0.000597128
         160    -6.65299    -6.65453 0.000593475
         161    -6.65068    -6.65451 0.000590271
         162    -6.65045    -6.65448 0.000587158
         163    -6.66175    -6.65453 0.000585244
         164    -6.65506    -6.65453 0.000581684
         165    -6.65401    -6.65453 0.000578168
         166    -6.64728    -6.65449 0.000576332
         167      -6.668    -6.65457 0.000578532
         168    -6.64583    -6.65451 0.000577419
         169     -6.6544    -6.65451 0.000574003
         170    -6.64483    -6.65446 0.000573446
         171    -6.65208    -6.65444 0.000570261
         172    -6.65661    -6.65446 0.000567085
         173    -6.66351    -6.65451 0.000566219
         174    -6.65812    -6.65453 0.000563346
         175    -6.65136    -6.65451 0.000560418
         176    -6.66275    -6.65456 0.000559186
         177    -6.65147    -6.65454 0.000556299
         178     -6.6539    -6.65454 0.000553185
         179    -6.66268    -6.65458 0.000551963
         180    -6.64777    -6.65454 0.000550191
         181    -6.65847    -6.65457 0.000547579
         182    -6.65088    -6.65455 0.000544945
         183    -6.63934    -6.65446 0.000548265
         184    -6.66291    -6.65451 0.000547202
         185    -6.65606    -6.65452 0.000544309
         186    -6.64489    -6.65447 0.000543838
         187    -6.66461    -6.65452 0.000543632
         188    -6.64482    -6.65447 0.000543181
         189    -6.65206    -6.65446 0.000540457
         190    -6.64983    -6.65443  0.00053816
         191    -6.64661    -6.65439 0.000536897
         192    -6.65502    -6.65439 0.000534111
         193      -6.662    -6.65443 0.000532795
         194    -6.63605    -6.65434  0.00053841
         195    -6.66898    -6.65441 0.000540858
         196    -6.63562    -6.65432 0.000546532
         197    -6.67591    -6.65443 0.000554641
         198    -6.65136    -6.65441 0.000552056
         199    -6.66375    -6.65446 0.000551274
         200    -6.64706    -6.65442 0.000549757
         201    -6.64543    -6.65438 0.000548839
         202    -6.65869     -6.6544 0.000546537
         203    -6.64737    -6.65436  0.00054494
         204    -6.66344    -6.65441 0.000544082
         205    -6.65314     -6.6544 0.000541463
         206    -6.65166    -6.65439 0.000538998
         207    -6.64341    -6.65434 0.000538997
         208    -6.65398    -6.65433 0.000536408
         209    -6.66308    -6.65438 0.000535471
         210    -6.64866    -6.65435 0.000533611
         211    -6.66152    -6.65438 0.000532162
         212    -6.65543    -6.65439 0.000529675
         213    -6.64689    -6.65435 0.000528357
         214    -6.64407     -6.6543 0.000528067
         215    -6.65918    -6.65433 0.000526097
         216    -6.64912     -6.6543 0.000524213
         217    -6.65671    -6.65431 0.000521915
         218    -6.65507    -6.65432 0.000519532
         219    -6.64857    -6.65429 0.000517823
         220    -6.66383    -6.65433 0.000517283
         221    -6.64644     -6.6543 0.000516175
         222    -6.65221    -6.65429 0.000513935
         223    -6.66551    -6.65434 0.000514087
