#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
         168    -178.239    -178.465   0.0150308
         169    -178.463    -178.465   0.0149419
         170    -178.213    -178.464   0.0149276
         171    -178.401    -178.463   0.0148448
         172    -178.519    -178.464   0.0147621
         173      -178.7    -178.465   0.0147398
         174    -178.559    -178.465   0.0146651
         175    -178.384    -178.465   0.0145887
         176    -178.678    -178.466   0.0145559
         177    -178.386    -178.466   0.0144808
         178     -178.45    -178.466   0.0143997
         179    -178.677    -178.467   0.0143675
         180    -178.289    -178.466   0.0143216
         181    -178.567    -178.466   0.0142535
         182     -178.37    -178.466   0.0141849
         183     -178.07    -178.464   0.0142717
         184    -178.683    -178.465   0.0142438
         185    -178.506    -178.465   0.0141685
         186    -178.215    -178.464   0.0141562
         187    -178.726    -178.465   0.0141499
         188    -178.212    -178.464   0.0141385
         189    -178.401    -178.463   0.0140677
         190    -178.342    -178.463   0.0140081
         191     -178.26    -178.462   0.0139751
         192    -178.477    -178.462   0.0139025
         193     -178.66    -178.463   0.0138685
         194    -177.984     -178.46   0.0140151
         195    -178.841    -178.462   0.0140787
         196    -177.973     -178.46   0.0142261
         197    -179.022    -178.463   0.0144377
         198    -178.383    -178.462   0.0143704
         199    -178.705    -178.464   0.0143501
         200    -178.272    -178.463   0.0143102
         201    -178.228    -178.461   0.0142864
         202    -178.574    -178.462   0.0142266
         203    -178.279    -178.461    0.014185
         204    -178.698    -178.462    0.014163
         205    -178.429    -178.462   0.0140948
         206    -178.391    -178.462   0.0140306
         207    -178.175     -178.46    0.014031
         208    -178.451     -178.46   0.0139637
         209    -178.687    -178.461    0.013939
         210    -178.314    -178.461   0.0138903
         211    -178.649    -178.462   0.0138529
         212     -178.49    -178.462   0.0137883
         213    -178.267    -178.461   0.0137539
         214    -178.192     -178.46   0.0137469
         215    -178.586     -178.46   0.0136956
         216    -178.324     -178.46   0.0136466
         217    -178.523     -178.46   0.0135869
         218    -178.481     -178.46   0.0135249
         219     -178.31    -178.459   0.0134804
         220    -178.708     -178.46   0.0134665
         221    -178.255    -178.459   0.0134377
         222    -178.404    -178.459   0.0133794
         223    -178.751     -178.46   0.0133831
         224    -178.337     -178.46   0.0133348
         225    -178.456     -178.46   0.0132755
         226    -178.743    -178.461   0.0132759
         227    -178.052    -178.459   0.0133391
         228    -178.642     -178.46   0.0133047
         229    -178.616    -178.461    0.013264
         230      -178.2     -178.46   0.0132548
         231    -178.742    -178.461   0.0132536
         232    -178.317     -178.46    0.013211
         233    -178.738    -178.461   0.0132081
         234    -178.614    -178.462   0.0131677
         235    -178.418    -178.462    0.013113
         236    -178.567    -178.462   0.0130651
         237    -178.443    -178.462   0.0130102
         238    -178.584    -178.463   0.0129656
         239    -178.413    -178.463    0.012913
         240    -178.446    -178.463   0.0128594
         241    -178.567    -178.463   0.0128133
         242    -178.392    -178.463   0.0127638
         243    -178.436    -178.463   0.0127117
         244    -178.542    -178.463   0.0126638
         245    -178.451    -178.463   0.0126122
         246    -178.476    -178.463   0.0125611
         247    -178.543    -178.463   0.0125144
         248    -178.744    -178.464   0.0125152
         249    -178.102    -178.463   0.0125494
         250     -178.39    -178.463   0.0125026
         251    -178.124    -178.461   0.0125255
         252    -178.444    -178.461    0.012476
         253    -178.337    -178.461   0.0124364
         254    -178.411    -178.461    0.012389
         255    -178.335     -178.46   0.0123502
         256    -178.459     -178.46    0.012302
         257    -178.659    -178.461   0.0122784
         258    -178.089    -178.459   0.0123149
         259    -178.469    -178.459   0.0122674
         260    -178.709     -178.46   0.0122577
         261    -178.487     -178.46   0.0122112
         262    -178.657    -178.461   0.0121875
         263    -178.508    -178.461   0.0121425
         264    -178.631    -178.462   0.0121134
         265    -178.276    -178.461    0.012088
         266    -178.698    -178.462   0.0120753
         267    -178.633    -178.463   0.0120471
         268    -178.211    -178.462   0.0120386
         269    -178.386    -178.462   0.0119972
         270    -178.315    -178.461    0.011965
         271    -178.557    -178.461   0.0119262
         272    -178.608    -178.462   0.0118944
         273    -178.563    -178.462   0.0118566
         274    -178.463    -178.462   0.0118134
         275    -178.403    -178.462   0.0117724
         276    -178.708    -178.463   0.0117632
         277    -178.396    -178.463   0.0117232
         278     -178.51    -178.463   0.0116823
         279    -178.677    -178.464   0.0116657
         280    -178.369    -178.463   0.0116289
         281    -178.684    -178.464   0.0116139
         282    -178.556    -178.464   0.0115773
         283    -178.285    -178.464   0.0115538
