#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
         167      1.2193     1.20688 0.000563859
         168     1.19845     1.20683 0.000562733
         169     1.20592     1.20683 0.000559429
         170     1.19789     1.20677 0.000558601
         171     1.20488     1.20676 0.000555444
         172     1.20903     1.20678 0.000552371
         173     1.21497     1.20682 0.000551203
         174     1.21016     1.20684 0.000548369
         175     1.20312     1.20682 0.000545648
         176      1.2165     1.20688 0.000545314
         177     1.20409     1.20686  0.00054246
         178     1.20569     1.20685 0.000539453
         179     1.21546      1.2069 0.000538577
         180     1.20082     1.20687 0.000536643
         181     1.21136     1.20689 0.000534251
         182     1.20349     1.20688 0.000531643
         183     1.19257      1.2068 0.000534453
         184     1.21562     1.20685 0.000533695
         185     1.20807     1.20685 0.000530852
         186     1.19748      1.2068 0.000530384
         187     1.21841     1.20686  0.00053117
         188     1.19815     1.20682 0.000530361
         189     1.20488     1.20681 0.000527653
         190     1.20317     1.20679 0.000525223
         191     1.19887     1.20675 0.000524109
         192     1.20823     1.20675 0.000521436
         193     1.21355     1.20679 0.000519921
         194     1.18946      1.2067 0.000524856
         195     1.22109     1.20677 0.000527329
         196     1.18825     1.20668 0.000533036
         197     1.22714     1.20678 0.000540358
         198     1.20397     1.20677 0.000537815
         199     1.21585     1.20681 0.000537045
         200     1.19853     1.20677 0.000535954
         201     1.19828     1.20673 0.000534952
         202     1.21026     1.20675 0.000532589
         203     1.19968     1.20671 0.000531101
         204     1.21466     1.20675 0.000529924
         205     1.20615     1.20675 0.000527347
         206     1.20363     1.20673 0.000525005
         207     1.19709     1.20669 0.000524532
         208     1.20647     1.20669 0.000522011
         209     1.21579     1.20673  0.00052133
         210     1.19983      1.2067 0.000519882
         211     1.21239     1.20672 0.000518117
         212     1.20633     1.20672 0.000515676
         213     1.19924     1.20669  0.00051445
         214     1.19799     1.20665 0.000513647
         215     1.21136     1.20667 0.000511727
         216     1.20195     1.20665 0.000509824
         217     1.20794     1.20665  0.00050751
         218     1.20614     1.20665 0.000505187
         219       1.201     1.20662 0.000503538
         220     1.21536     1.20666 0.000502813
         221       1.199     1.20663 0.000501733
         222     1.20556     1.20662 0.000499496
         223       1.218     1.20668 0.000499851
         224     1.20175     1.20665 0.000498104
         225     1.20704     1.20666 0.000495893
         226     1.21715      1.2067  0.00049587
         227     1.19113     1.20663 0.000498409
         228     1.21435     1.20667 0.000497372
         229     1.21342      1.2067 0.000496072
         230      1.1965     1.20665 0.000495893
         231     1.21895     1.20671 0.000496596
         232      1.2019     1.20668 0.000494887
         233      1.2171     1.20673 0.000494779
         234     1.21227     1.20675 0.000493231
         235     1.20515     1.20675 0.000491179
         236     1.21086     1.20676 0.000489407
         237     1.20654     1.20676 0.000487343
         238     1.21166     1.20678  0.00048573
         239     1.20519     1.20678 0.000483743
         240     1.20568     1.20677 0.000481749
         241     1.21052     1.20679 0.000480001
         242     1.20508     1.20678 0.000478069
         243     1.20584     1.20678 0.000476118
         244     1.21078     1.20679 0.000474449
         245     1.20714     1.20679 0.000472514
         246     1.20643     1.20679 0.000470596
         247     1.20965      1.2068 0.000468833
         248     1.21606     1.20684 0.000468427
         249     1.19471     1.20679 0.000469073
         250     1.20378     1.20678 0.000467351
         251     1.19379     1.20673 0.000468346
         252     1.20676     1.20673 0.000466488
         253     1.20301     1.20672 0.000464875
         254     1.20335      1.2067 0.000463233
         255      1.2026     1.20669 0.000461695
         256      1.2062     1.20668 0.000459896
         257     1.21523     1.20672 0.000459306
         258     1.19274     1.20666 0.000460709
         259     1.20679     1.20666  0.00045893
         260     1.21636      1.2067 0.000458677
         261     1.20859     1.20671 0.000456977
         262     1.21409     1.20674 0.000456101
         263     1.20972     1.20675 0.000454508
         264     1.21318     1.20677 0.000453439
         265     1.19932     1.20674 0.000452598
         266     1.21439     1.20677  0.00045181
         267     1.21235     1.20679 0.000450601
         268     1.19722     1.20676 0.000450332
         269      1.2038     1.20675 0.000448792
         270      1.2013     1.20673 0.000447584
         271     1.20994     1.20674 0.000446089
         272     1.21139     1.20676 0.000444776
         273     1.21037     1.20677 0.000443344
         274     1.20679     1.20677 0.000441726
         275     1.20424     1.20676 0.000440216
         276     1.21587     1.20679 0.000439855
         277     1.20422     1.20678 0.000438365
         278     1.20827     1.20679 0.000436821
         279     1.21479     1.20682 0.000436196
         280       1.203      1.2068 0.000434852
         281      1.2135     1.20683 0.000433957
         282     1.21036     1.20684 0.000432599
         283     1.20015     1.20682 0.000431716
         284     1.20644     1.20682 0.000430198
         285     1.19896     1.20679  0.00042957
         286     1.21042      1.2068 0.000428256
         287     1.21527     1.20683  0.00042778
         288     1.20473     1.20682 0.000426357
         289     1.19619     1.20679 0.000426466
         290     1.21986     1.20683 0.000427372
         291     1.19682      1.2068 0.000427286
         292     1.20359     1.20679 0.000425964
         293     1.21825     1.20682 0.000426303
         294      1.1993      1.2068 0.000425619
         295     1.20572      1.2068 0.000424192
         296     1.21182     1.20681 0.000423099
         297     1.20641     1.20681 0.000421677
         298     1.20718     1.20681 0.000420263
         299     1.20626     1.20681 0.000418862
         300     1.19907     1.20678  0.00041826
         301     1.21698     1.20682 0.000418241
         302     1.19999      1.2068 0.000417467
         303     1.21003     1.20681 0.000416226
         304     1.20137     1.20679  0.00041524
         305     1.21124      1.2068 0.000414136
         306     1.21064     1.20682 0.000412972
         307      1.2115     1.20683 0.000411909
         308     1.20341     1.20682 0.000410722
         309     1.21668     1.20685 0.000410631
         310      1.1972     1.20682 0.000410486
         311     1.20707     1.20682 0.000409167
         312     1.20517     1.20682  0.00040789
         313     1.20603     1.20681 0.000406595
         314      1.2114     1.20683 0.000405562
         315     1.20589     1.20683 0.000404285
         316     1.20693     1.20683 0.000403006
         317     1.21087     1.20684 0.000401937
         318     1.20428     1.20683 0.000400753
         319      1.2091     1.20684  0.00039956
         320     1.20974     1.20685 0.000398415
         321     1.20786     1.20685 0.000397186
         322     1.21622     1.20688 0.000397017
         323      1.2031     1.20687  0.00039596
         324     1.21762      1.2069 0.000396126
         325     1.20016     1.20688 0.000395449
         326     1.21517      1.2069 0.000395052
         327     1.20509      1.2069 0.000393883
         328     1.20388     1.20689 0.000392789
         329     1.21245     1.20691 0.000391959
         330     1.20882     1.20691 0.000390814
         331     1.21107     1.20693 0.000389835
         332      1.2058     1.20692 0.000388676
         333     1.20876     1.20693 0.000387548
         334     1.21017     1.20694 0.000386509
         335     1.20608     1.20693 0.000385364
         336      1.2023     1.20692 0.000384464
         337     1.20188     1.20691 0.000383614
         338     1.21713     1.20694 0.000383671
         339     1.20149     1.20692 0.000382876
         340     1.21402     1.20694 0.000382319
         341     1.20023     1.20692 0.000381704
         342     1.19988      1.2069 0.000381144
         343     1.21939     1.20694 0.000381767
         344     1.19785     1.20691 0.000381571
         345     1.21971     1.20695 0.000382266
         346     1.20331     1.20694 0.000381305
         347     1.21435     1.20696 0.000380805
         348     1.20278     1.20695   0.0003799
         349     1.19893     1.20692 0.000379504
         350     1.21122     1.20694 0.000378618
         351     1.20519     1.20693 0.000377572
         352     1.21283     1.20695 0.000376872
         353     1.21029     1.20696 0.000375923
         354     1.20901     1.20696 0.000374906
         355     1.20234     1.20695 0.000374076
         356     1.20582     1.20695 0.000373039
         357     1.21338     1.20696 0.000372429
         358     1.20482     1.20696 0.000371437
         359     1.20966     1.20697 0.000370478
         360     1.21199     1.20698 0.000369712
         361     1.19987     1.20696 0.000369213
         362     1.20724     1.20696 0.000368194
         363     1.20791     1.20696 0.000367188
         364     1.21122     1.20698 0.000366366
         365     1.20869     1.20698 0.000365393
         366     1.21379       1.207 0.000364868
         367     1.20319     1.20699 0.000364021
         368     1.20424     1.20698 0.000363108
         369     1.20567     1.20698 0.000362142
         370     1.21744     1.20701 0.000362266
         371     1.20214     1.20699 0.000361526
         372     1.21562     1.20702 0.000361298
         373     1.19412     1.20698  0.00036198
         374     1.22021     1.20702 0.000362736
         375     1.20423     1.20701 0.000361845
         376     1.20298       1.207 0.000361041
         377     1.20649       1.207 0.000360085
         378     1.21366     1.20702 0.000359564
         379     1.21466     1.20704 0.000359181
         380      1.1957     1.20701 0.000359472
         381     1.21163     1.20702 0.000358733
         382      1.2087     1.20702 0.000357821
         383     1.21484     1.20704 0.000357469
         384     1.19935     1.20702 0.000357099
         385     1.21323     1.20704 0.000356535
         386     1.20803     1.20704 0.000355621
         387     1.20156     1.20703 0.000354983
         388     1.21916     1.20706 0.000355444
         389     1.19239     1.20702 0.000356525
         390     1.21591     1.20704 0.000356339
         391     1.20172     1.20703 0.000355688
         392      1.2212     1.20707 0.000356613
         393     1.19445     1.20703 0.000357149
         394     1.21037     1.20704 0.000356342
         395     1.21548     1.20706  0.00035608
         396     1.21324     1.20708 0.000355522
         397      1.2058     1.20708 0.000354641
         398     1.20487     1.20707 0.000353794
         399     1.20761     1.20707  0.00035291
         400     1.20101     1.20706 0.000352352
         401     1.20291     1.20705 0.000351625
         402     1.21493     1.20707 0.000351297
         403     1.21022     1.20707 0.000350512
         404     1.20115     1.20706 0.000349951
         405     1.20989     1.20707 0.000349157
         406     1.21184     1.20708 0.000348495
         407     1.20752     1.20708  0.00034764
         408     1.19511     1.20705 0.000348023
         409      1.2013     1.20704 0.000347456
         410     1.20966     1.20704 0.000346668
         411     1.20269     1.20703 0.000345986
         412     1.21107     1.20704 0.000345285
         413     1.20948     1.20705   0.0003445
         414     1.18796       1.207 0.000346739
         415     1.21209     1.20701  0.00034612
         416     1.20265       1.207 0.000345447
         417     1.20103     1.20699 0.000344916
         418     1.20866     1.20699 0.000344114
         419     1.19989     1.20698  0.00034371
         420     1.21811       1.207 0.000343912
         421     1.20096     1.20699 0.000343394
         422     1.20311     1.20698 0.000342704
         423     1.20933     1.20698 0.000341939
         424     1.19694     1.20696 0.000341951
         425     1.21543     1.20698 0.000341727
         426      1.2031     1.20697 0.000341046
         427     1.20947     1.20698 0.000340298
         428     1.21561       1.207 0.000340099
         429     1.21035       1.207 0.000339396
         430     1.20667       1.207 0.000338608
         431     1.20237     1.20699 0.000337993
         432     1.20786       1.207 0.000337216
         433     1.21423     1.20701 0.000336851
         434      1.1988     1.20699 0.000336606
         435     1.20899       1.207 0.000335864
         436     1.21056     1.20701 0.000335193
         437     1.20259       1.207 0.000334578
         438     1.20837       1.207 0.000333829
         439     1.20502     1.20699 0.000333099
         440     1.20621     1.20699 0.000332346
         441     1.19822     1.20697 0.000332188
         442     1.20591     1.20697 0.000331445
