#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1    0.718445    0.718445           0
           2    0.727292    0.722868  0.00312811
           3    0.727822    0.724519  0.00248319
           4     0.72509    0.724662  0.00186648
           5    0.720889    0.723907  0.00163866
           6    0.726497    0.724339  0.00142127
           7    0.727178    0.724745   0.0012748
           8    0.722679    0.724486  0.00114131
           9    0.722068    0.724218  0.00104564
          10    0.729609    0.724757  0.00107108
