#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1    0.973847    0.973847           0
           2     1.04757     1.01071   0.0260636
           3     1.07807     1.03316   0.0252604
           4     1.11403     1.05338   0.0257965
           5     1.13192     1.06909   0.0249661
           6      1.1181     1.07726   0.0221012
           7     1.11282     1.08234   0.0195191
           8      1.1077     1.08551   0.0173347
           9      1.1235     1.08973   0.0159143
          10     1.14094     1.09485   0.0151244
