#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     1.02718     1.02718           0
           2      1.0996     1.06339   0.0256033
           3     1.12931     1.08536   0.0247641
           4     1.17054     1.10666   0.0261736
           5     1.18114     1.12155   0.0248188
           6     1.16964     1.12957   0.0219383
           7      1.1712     1.13552    0.019594
           8     1.16385     1.13906    0.017462
           9     1.15004     1.14028   0.0155643
          10     1.18008     1.14426   0.0145078
