#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
         157    -8.81301     -8.6973   0.0807035
         158    -8.78671    -8.69787   0.0801947
         159    -8.55334    -8.69696   0.0796955
         160    -8.00119    -8.69261   0.0793159
         161    -7.53945    -8.68545    0.079146
         162    -8.41886    -8.68381   0.0786746
         163     -8.9456    -8.68541   0.0782083
         164     -8.7815      -8.686   0.0777336
         165    -7.78782    -8.68055   0.0774529
         166    -7.62602     -8.6742   0.0772464
         167     -7.4295    -8.66675   0.0771426
         168    -8.05355     -8.6631   0.0767697
         169     -7.9728    -8.65901    0.076424
         170    -8.47903    -8.65795   0.0759818
         171     -9.0451    -8.66022   0.0755712
         172    -7.82148    -8.65534    0.075289
         173    -9.04374    -8.65759   0.0748872
         174    -9.26907     -8.6611   0.0745393
         175    -8.48428    -8.66009   0.0741202
         176    -8.25148    -8.65777   0.0737354
         177    -7.31834     -8.6502   0.0737061
         178    -7.64641    -8.64456   0.0735074
         179    -7.57878    -8.63861   0.0733375
         180    -9.28741    -8.64221   0.0730186
         181     -9.6917    -8.64801    0.072845
         182    -9.90938    -8.65494   0.0727737
         183    -8.91201    -8.65635   0.0723896
         184    -8.48686    -8.65543   0.0720021
         185    -8.15277    -8.65271   0.0716641
         186    -7.60185    -8.64706   0.0715012
         187    -7.06315    -8.63859   0.0716188
         188    -8.14156    -8.63594   0.0712866
         189    -7.11906    -8.62792   0.0713598
         190    -7.09268    -8.61984   0.0714402
         191    -9.00108    -8.62183   0.0710941
         192    -8.69589    -8.62222   0.0707248
         193    -8.92189    -8.62377   0.0703754
         194    -7.50452      -8.618   0.0702487
         195    -7.65901    -8.61309   0.0700604
         196    -8.79066    -8.61399   0.0697088
         197    -8.83158     -8.6151   0.0693637
         198    -9.44122    -8.61927   0.0691388
         199    -8.43477    -8.61834   0.0687976
         200    -8.82181    -8.61936   0.0684611
         201    -8.61123    -8.61932   0.0681205
         202     -9.0262    -8.62133    0.067813
         203    -9.19727    -8.62417   0.0675383
         204    -9.91928    -8.63052    0.067505
         205    -12.4179    -8.64899    0.069658
         206    -12.5452    -8.66791   0.0718417
         207    -10.7436    -8.67793   0.0721911
         208    -10.0128    -8.68435   0.0721287
         209    -9.80617    -8.68972    0.071983
         210    -9.69678    -8.69452   0.0717998
         211    -9.46485    -8.69817   0.0715523
         212    -9.80453    -8.70339   0.0714048
         213    -8.93655    -8.70448    0.071078
         214    -8.80321    -8.70494   0.0707473
         215    -9.06178     -8.7066   0.0704378
         216    -9.12742    -8.70855   0.0701386
         217    -6.87419     -8.7001   0.0703229
         218    -6.68019    -8.69083   0.0706081
         219    -7.28141    -8.68439   0.0705784
         220    -8.57596     -8.6839   0.0702593
         221    -9.76026    -8.68877     0.07011
         222    -9.65848    -8.69314   0.0699301
         223    -8.40749    -8.69186   0.0696283
         224    -7.32666    -8.68576   0.0695837
         225    -8.15055    -8.68339    0.069315
         226    -7.82039    -8.67957   0.0691134
         227    -8.11318    -8.67707    0.068854
         228    -9.18466     -8.6793    0.068588
         229    -8.86241     -8.6801   0.0682931
         230     -9.3172    -8.68287   0.0680524
         231    -8.43505     -8.6818   0.0677662
         232    -8.06152    -8.67912   0.0675268
         233    -10.1033    -8.68523   0.0675131
         234    -9.53048    -8.68885   0.0673211
         235    -10.2345    -8.69542   0.0673552
         236    -11.7348     -8.7083     0.06829
         237    -11.5823    -8.72043   0.0690701
         238    -10.5296    -8.72803   0.0691969
         239    -10.3182    -8.73468   0.0692265
         240    -8.45649    -8.73352   0.0689478
         241    -7.42726     -8.7281   0.0688744
         242    -8.33646    -8.72649   0.0686088
         243    -9.17703    -8.72834   0.0683515
         244      -9.709    -8.73236   0.0681895
         245    -8.95568    -8.73327   0.0679172
         246    -8.74569    -8.73332   0.0676412
         247    -9.02933    -8.73452   0.0673779
         248    -9.05511    -8.73581   0.0671186
         249    -9.75015    -8.73989   0.0669726
         250    -8.95071    -8.74073     0.06671
         251    -9.18302    -8.74249   0.0664675
         252    -9.52303    -8.74559   0.0662759
         253    -9.02327    -8.74669    0.066023
         254    -8.55533    -8.74593   0.0657674
         255    -8.19786    -8.74378   0.0655446
         256    -8.46761     -8.7427   0.0652974
         257    -9.70867    -8.74646   0.0651514
         258    -9.06814    -8.74771   0.0649108
         259    -8.04992    -8.74502   0.0647161
         260    -8.81241    -8.74528   0.0644677
         261    -9.47334    -8.74806    0.064281
         262    -9.40036    -8.75055   0.0640839
         263    -9.35664    -8.75286   0.0638816
         264    -10.3679    -8.75898   0.0639319
         265     -10.567     -8.7658   0.0640537
         266    -8.50637    -8.76482   0.0638203
         267    -7.87063    -8.76147   0.0636691
         268    -7.44518    -8.75656   0.0636207
         269    -8.90108     -8.7571   0.0633864
         270    -9.26897      -8.759     0.06318
         271    -8.19916    -8.75693   0.0629806
         272    -9.40748    -8.75932   0.0627945
         273    -9.63472    -8.76253   0.0626463
         274    -8.41636    -8.76127   0.0624304
         275    -9.84065    -8.76519   0.0623266
         276    -10.0709    -8.76992   0.0622801
         277    -9.77565    -8.77355    0.062161
         278     -10.669    -8.78037   0.0623102
         279    -11.1982    -8.78904   0.0626866
         280    -10.9749    -8.79684    0.062947
